SYMBOL ENSEMBL HOCOID
E2F4 ENSGALG00000001722 MA0470.2
E2F6 ENSGALG00000016454 MA0471.2
E2F7 ENSGALG00000031340 MA0758.1
E2F8 ENSGALG00000041299 MA0865.1
EBF1 ENSGALG00000003699 MA0154.4
EBF2 ENSGALG00000000242 MA1604.1
EBF3 ENSGALG00000010461 MA1637.1
EGR1 ENSGALG00000007669 MA0162.4
EGR2 ENSGALG00000040971 MA0472.2
EGR3 ENSGALG00000037437 MA0732.1
EGR4 ENSGALG00000016086 MA0733.1
EHF ENSGALG00000007817 MA0598.3
ELF1 ENSGALG00000016947 MA0473.3
ELF2 ENSGALG00000009774 MA1483.1
ELF3 ENSGALG00000000616 MA0640.2
ELF5 ENSGALG00000035867 MA0136.2
ELK3 ENSGALG00000043701 MA0759.1
ELK4 ENSGALG00000042137 MA0076.2
EMX1 ENSGALG00000030516 MA0612.2
EMX2 ENSGALG00000009302 MA0886.1
EN1 ENSGALG00000042389 MA0027.2
EN2 ENSGALG00000041295 MA0642.1
EOMES ENSGALG00000027247 MA0800.1
ERG ENSGALG00000016058 MA0474.2
ESR1 ENSGALG00000012973 MA0112.3
ESR2 ENSGALG00000011801 MA0258.2
ESRRB ENSGALG00000041775 MA0141.3
ESRRG ENSGALG00000009645 MA0643.1
ETS1 ENSGALG00000001143 MA0098.3
ETS2 ENSGALG00000016059 MA1484.1
ETV1 ENSGALG00000035504 MA0761.2
ETV3 ENSGALG00000000669 MA0763.1
ETV4 ENSGALG00000036678 MA0764.2
ETV5 ENSGALG00000005768 MA0765.2
ETV6 ENSGALG00000012921 MA0645.1
EVX1 ENSGALG00000037310 MA0887.1
EVX2 ENSGALG00000020768 MA0888.1
FAR1 ENSGALG00000005353 MA1382.1
FERD3L ENSGALG00000010862 MA1485.1
FEV ENSGALG00000026698 MA0156.2
FHL1 ENSGALG00000006190 MA0295.1
FLI1 ENSGALG00000001161 MA0475.2
FOS ENSGALG00000028037 MA0476.1
FOSL2 ENSGALG00000010036 MA0478.1
FOXA1 ENSGALG00000032713 MA0148.4
FOXA2 ENSGALG00000030889 MA0047.3
FOXC1 ENSGALG00000030442 MA0032.2
FOXC2 ENSGALG00000036593 MA0846.1
FOXD1 ENSGALG00000012644 MA0031.1
FOXD2 ENSGALG00000042474 MA0847.2
FOXD3 ENSGALG00000042686 MA0041.1
FOXE1 ENSGALG00000028153 MA1487.1
FOXF1 ENSGALG00000034111 MA1606.1
FOXF2 ENSGALG00000031920 MA0030.1
FOXG1 ENSGALG00000036364 MA0613.1
FOXI1 ENSGALG00000002105 MA0042.2
FOXJ2 ENSGALG00000014329 MA0614.1
FOXK1 ENSGALG00000004460 MA0852.2
FOXK2 ENSGALG00000001577 MA1103.2
FOXL2 ENSGALG00000029282 MA1607.1
FOXN1 ENSGALG00000043868 MA1684.1
FOXN3 ENSGALG00000010665 MA1489.1
FOXO1 ENSGALG00000017034 MA0480.1
FOXO6 ENSGALG00000026153 MA0849.1
FOXP1 ENSGALG00000007769 MA0481.3
FOXP2 ENSGALG00000009424 MA0593.1
GABPA ENSGALG00000015763 MA0062.3
GATA2 ENSGALG00000005909 MA0036.3
GATA3 ENSGALG00000029270 MA0037.3
GATA4 ENSGALG00000016662 MA0482.2
GATA5 ENSGALG00000005352 MA0766.2
GATA6 ENSGALG00000014976 MA1396.1
GATA6 ENSGALG00000014976 MA1104.2
GBX1 ENSGALG00000042241 MA0889.1
GBX2 ENSGALG00000013342 MA0890.1
GCM1 ENSGALG00000016316 MA0646.1
GCM2 ENSGALG00000012768 MA0917.1
GCM2 ENSGALG00000012768 MA0767.1
GFI1 ENSGALG00000043650 MA0038.2
GFI1B ENSGALG00000003478 MA0483.1
GLI2 ENSGALG00000011630 MA0734.2
GLI3 ENSGALG00000040266 MA1491.1
GLIS1 ENSGALG00000010721 MA0735.1
GLIS2 ENSGALG00000034737 MA0736.1
GLIS3 ENSGALG00000010180 MA0737.1
GMEB1 ENSGALG00000038488 MA0615.1
GMEB2 ENSGALG00000039685 MA0862.1
GRHL2 ENSGALG00000037687 MA1105.2
GSC ENSGALG00000010974 MA0648.1
GSC ENSGALG00000010974 MA0190.1
GSC2 ENSGALG00000044245 MA0891.1
GSX1 ENSGALG00000029779 MA0892.1
GSX2 ENSGALG00000035943 MA0893.2
HAND2 ENSGALG00000030530 MA1638.1
HAP1 ENSGALG00000023847 MA0312.1
HAT1 ENSGALG00000009525 MA1024.1
HES1 ENSGALG00000028015 MA1099.2
HES2 ENSGALG00000047204 MA0616.2
HES5 ENSGALG00000001141 MA0821.1
HES6 ENSGALG00000048261 MA1493.1
HESX1 ENSGALG00000005506 MA0894.1
HEY1 ENSGALG00000035031 MA0823.1
HEY2 ENSGALG00000034716 MA0649.1
HHEX ENSGALG00000030008 MA0183.1
HIC1 ENSGALG00000042077 MA0739.1
HIC2 ENSGALG00000033416 MA0738.1
HIF1A ENSGALG00000011870 MA1106.1
HINFP ENSGALG00000006806 MA0131.2
HLF ENSGALG00000003059 MA0043.3
HMBOX1 ENSGALG00000016633 MA0895.1
HMX1 ENSGALG00000042062 MA0896.1
HMX2 ENSGALG00000030875 MA0897.1
HMX3 ENSGALG00000023415 MA0898.1
HNF1A ENSGALG00000006968 MA0046.2
HNF1B ENSGALG00000005504 MA0153.2
HNF4A ENSGALG00000004285 MA0114.4
HNF4G ENSGALG00000042621 MA0484.2
HOXA1 ENSGALG00000028095 MA1495.1
HOXA10 ENSGALG00000026631 MA0899.1
HOXA11 ENSGALG00000040021 MA0911.1
HOXA13 ENSGALG00000027234 MA0650.2
HOXA2 ENSGALG00000040521 MA0900.2
HOXA4 ENSGALG00000022622 MA1496.1
HOXA5 ENSGALG00000025929 MA0158.2
HOXA6 ENSGALG00000028908 MA1497.1
HOXA7 ENSGALG00000026989 MA1498.1
HOXA9 ENSGALG00000028983 MA0594.2
HOXB13 ENSGALG00000033154 MA0901.2
HOXB2 ENSGALG00000025774 MA0902.2
HOXB3 ENSGALG00000043219 MA0903.1
HOXB4 ENSGALG00000000284 MA1499.1
HOXB5 ENSGALG00000034907 MA0904.2
HOXB6 ENSGALG00000037619 MA1500.1
HOXB7 ENSGALG00000032740 MA1501.1
HOXB8 ENSGALG00000040320 MA1502.1
HOXB9 ENSGALG00000001276 MA1503.1
HOXC10 ENSGALG00000029393 MA0905.1
HOXC11 ENSGALG00000050755 MA0651.1
HOXC12 ENSGALG00000033272 MA0906.1
HOXC13 ENSGALG00000036082 MA0907.1
HOXC4 ENSGALG00000035539 MA1504.1
HOXC8 ENSGALG00000037262 MA1505.1
HOXC9 ENSGALG00000029439 MA0485.2
HOXD10 ENSGALG00000009270 MA1506.1
HOXD11 ENSGALG00000039629 MA0908.1
HOXD12 ENSGALG00000009274 MA0873.1
HOXD13 ENSGALG00000032039 MA0909.2
HOXD3 ENSGALG00000023420 MA0912.2
HOXD4 ENSGALG00000023419 MA1507.1
HOXD8 ENSGALG00000037272 MA0910.2
HOXD9 ENSGALG00000027513 MA0913.2
HSF1 ENSGALG00000036821 MA0486.2
HSF1 ENSGALG00000036821 MA0319.1
HSF2 ENSGALG00000038420 MA0770.1
HSF4 ENSGALG00000003224 MA0771.1
ID1 ENSGALG00000034661 MA0120.1
IKZF1 ENSGALG00000013086 MA1508.1
IRF1 ENSGALG00000006785 MA0050.2
IRF2 ENSGALG00000010642 MA0051.1
IRF4 ENSGALG00000012830 MA1419.1
IRF5 ENSGALG00000039982 MA1420.1
IRF6 ENSGALG00000001405 MA1509.1
IRF7 ENSGALG00000014297 MA0772.1
IRF8 ENSGALG00000005757 MA0652.1
IRF9 ENSGALG00000030291 MA0653.1
ISL1 ENSGALG00000014884 MA1608.1
ISL2 ENSGALG00000033391 MA0914.1
JDP2 ENSGALG00000010322 MA0655.1
JUN ENSGALG00000010870 MA0488.1
JUND ENSGALG00000043641 MA0491.2
KLF10 ENSGALG00000037913 MA1511.1
KLF11 ENSGALG00000016440 MA1512.1
KLF12 ENSGALG00000016926 MA0742.1
KLF13 ENSGALG00000026590 MA0657.1
KLF15 ENSGALG00000036133 MA1513.1
KLF2 ENSGALG00000003939 MA1515.1
KLF3 ENSGALG00000041717 MA1516.1
KLF4 ENSGALG00000026928 MA0039.4
KLF5 ENSGALG00000016927 MA0599.1
KLF6 ENSGALG00000033178 MA1517.1
KLF9 ENSGALG00000027374 MA1107.2
LBX1 ENSGALG00000034189 MA0618.1
LBX2 ENSGALG00000031211 MA0699.1
LEF1 ENSGALG00000031960 MA0768.1
LHX1 ENSGALG00000005409 MA1518.1
LHX2 ENSGALG00000001124 MA0700.2
LHX3 ENSGALG00000003928 MA0135.1
LHX4 ENSGALG00000036587 MA0704.1
LHX5 ENSGALG00000008303 MA1519.1
LHX6 ENSGALG00000001347 MA0658.1
LHX8 ENSGALG00000011369 MA0705.1
LHX9 ENSGALG00000002223 MA0701.2
LIN54 ENSGALG00000011133 MA0619.1
LMX1A ENSGALG00000003424 MA0702.2
LMX1B ENSGALG00000040582 MA0703.2
MAF ENSGALG00000026258 MA1520.1
MAFA ENSGALG00000026264 MA1521.1
MAFB ENSGALG00000003670 MA0117.2
MAFF ENSGALG00000012277 MA0495.3
MAFG ENSGALG00000031475 MA0659.2
MAFK ENSGALG00000004189 MA0496.3
MAX ENSGALG00000032249 MA0058.3
MAZ ENSGALG00000049721 MA1522.1
MECOM ENSGALG00000032577 MA0029.1
MEF2A ENSGALG00000032366 MA0052.4
MEF2B ENSGALG00000037558 MA0660.1
MEF2C ENSGALG00000014645 MA0497.1
MEF2D ENSGALG00000037787 MA0773.1
MEIS1 ENSGALG00000041626 MA0498.2
MEIS2 ENSGALG00000039118 MA0774.1
MEOX1 ENSGALG00000001191 MA0661.1
MEOX2 ENSGALG00000010794 MA0706.1
MGA ENSGALG00000008653 MA0801.1
MGP ENSGALG00000011740 MA1158.1
MITF ENSGALG00000039583 MA0620.3
MIXL1 ENSGALG00000033786 MA0662.1
MLX ENSGALG00000003199 MA0663.1
MLXIP ENSGALG00000004397 MA0622.1
MLXIPL ENSGALG00000034960 MA0664.1
MNT ENSGALG00000005830 MA0825.1
MNX1 ENSGALG00000041154 MA0707.1
MSANTD3 ENSGALG00000013403 MA1523.1
MSC ENSGALG00000037777 MA0665.1
MSGN1 ENSGALG00000016469 MA1524.1
MSX1 ENSGALG00000015013 MA0666.1
MSX2 ENSGALG00000038848 MA0708.1
MTF1 ENSGALG00000001639 MA0863.1
MXI1 ENSGALG00000008555 MA1108.2
MYB ENSGALG00000013956 MA0100.3
MYBL1 ENSGALG00000033304 MA0776.1
MYBL2 ENSGALG00000003503 MA0777.1
MYC ENSGALG00000033631 MA0147.3
MYCN ENSGALG00000016462 MA0104.4
MYF5 ENSGALG00000028091 MA1641.1
MYF6 ENSGALG00000010936 MA0667.1
MYOD1 ENSGALG00000006216 MA0499.2
MYOG ENSGALG00000000172 MA0500.2
NEUROD1 ENSGALG00000008908 MA1109.1
NEUROD2 ENSGALG00000039633 MA0668.1
NEUROG1 ENSGALG00000029692 MA0623.2
NFAT5 ENSGALG00000039300 MA0606.1
NFATC1 ENSGALG00000042534 MA0624.1
NFATC2 ENSGALG00000007963 MA0152.1
NFATC3 ENSGALG00000003396 MA0625.1
NFE2 ENSGALG00000051041 MA0841.1
NFE2L1 ENSGALG00000011937 MA0089.2
NFE2L2 ENSGALG00000009240 MA0150.2
NFIA ENSGALG00000010924 MA0670.1
NFIB ENSGALG00000005441 MA1643.1
NFIC ENSGALG00000041643 MA0161.2
NFIL3 ENSGALG00000015209 MA0025.2
NFIX ENSGALG00000041630 MA0671.1
NFKB1 ENSGALG00000012304 MA0105.4
NFKB2 ENSGALG00000005653 MA0778.1
NFYA ENSGALG00000003247 MA0060.3
NFYB ENSGALG00000041193 MA0502.2
NFYC ENSGALG00000003189 MA1644.1
NHLH1 ENSGALG00000025817 MA0048.2
NHLH2 ENSGALG00000033432 MA1529.1
NKX2-2 ENSGALG00000036869 MA1645.1
NKX2-3 ENSGALG00000030932 MA0672.1
NKX2-5 ENSGALG00000002886 MA0063.2
NKX2-8 ENSGALG00000028483 MA0673.1
NKX3-2 ENSGALG00000031859 MA0122.3
NKX6-1 ENSGALG00000032545 MA0674.1
NKX6-2 ENSGALG00000010500 MA0675.1
NKX6-3 ENSGALG00000018503 MA1530.1
NOBOX ENSGALG00000043916 MA0125.1
NOTO ENSGALG00000035981 MA0710.1
NPAS2 ENSGALG00000016774 MA0626.1
NR1D1 ENSGALG00000047662 MA1531.1
NR1D2 ENSGALG00000011291 MA1532.1
NR1H4 ENSGALG00000011594 MA1110.1
NR1I3 ENSGALG00000042095 MA1534.1
NR2C1 ENSGALG00000011327 MA1535.1
NR2C2 ENSGALG00000008519 MA0504.1
NR2E1 ENSGALG00000015305 MA0676.1
NR2E3 ENSGALG00000002093 MA0164.1
NR2F1 ENSGALG00000027907 MA0017.2
NR2F2 ENSGALG00000007000 MA1111.1
NR2F6 ENSGALG00000043010 MA0677.1
NR3C1 ENSGALG00000032992 MA0113.3
NR3C2 ENSGALG00000010035 MA0727.1
NR4A1 ENSGALG00000043727 MA1112.2
NR4A2 ENSGALG00000012538 MA0160.1
NR5A1 ENSGALG00000001080 MA1540.1
NR5A2 ENSGALG00000002182 MA0505.1
NR6A1 ENSGALG00000001073 MA1541.1
NRF1 ENSGALG00000040060 MA0506.1
NRG1 ENSGALG00000015422 MA0347.1
OLIG2 ENSGALG00000031010 MA0678.1
ONECUT1 ENSGALG00000038618 MA0679.2
ONECUT2 ENSGALG00000035751 MA0756.1
ONECUT3 ENSGALG00000028081 MA0757.1
OSR1 ENSGALG00000016473 MA1542.1
OSR2 ENSGALG00000037695 MA1646.1
OTP ENSGALG00000026744 MA0236.1
OTX1 ENSGALG00000028817 MA0711.1
OTX2 ENSGALG00000034889 MA0712.2
OVOL1 ENSGALG00000049996 MA1544.1
OVOL2 ENSGALG00000008702 MA1545.1
PAX1 ENSGALG00000039040 MA0779.1
PAX2 ENSGALG00000005689 MA0067.1
PAX3 ENSGALG00000030944 MA0780.1
PAX5 ENSGALG00000016431 MA0014.3
PAX6 ENSGALG00000012123 MA0069.1
PAX7 ENSGALG00000043204 MA0680.1
PAX9 ENSGALG00000010114 MA0781.1
PBX1 ENSGALG00000003429 MA0070.1
PBX3 ENSGALG00000000972 MA1114.1
PDP1 ENSGALG00000034876 MA1702.1
PHOX2B ENSGALG00000014250 MA0681.2
PIF1 ENSGALG00000009032 MA0552.1
PITX1 ENSGALG00000030237 MA0682.2
PITX2 ENSGALG00000042492 MA1547.1
PKNOX1 ENSGALG00000016191 MA0782.2
PKNOX2 ENSGALG00000043103 MA0783.1
PLAG1 ENSGALG00000015407 MA0163.1
PLAGL1 ENSGALG00000013754 MA1615.1
PLAGL2 ENSGALG00000006586 MA1548.1
POU1F1 ENSGALG00000015495 MA0784.1
POU2F1 ENSGALG00000015446 MA0785.1
POU2F2 ENSGALG00000053954 MA0507.1
POU2F3 ENSGALG00000006673 MA0627.2
POU3F1 ENSGALG00000031605 MA0786.1
POU3F3 ENSGALG00000033739 MA0788.1
POU3F4 ENSGALG00000029329 MA0789.1
POU4F1 ENSGALG00000035441 MA0790.1
POU4F2 ENSGALG00000037094 MA0683.1
POU4F3 ENSGALG00000034567 MA0791.1
POU6F1 ENSGALG00000043072 MA0628.1
POU6F2 ENSGALG00000031713 MA0793.1
PPARD ENSGALG00000002588 MA1550.1
PPARG ENSGALG00000004974 MA0066.1
PRDM1 ENSGALG00000015388 MA0508.3
PRDM15 ENSGALG00000019178 MA1616.1
PRDM4 ENSGALG00000012619 MA1647.1
PROX1 ENSGALG00000009791 MA0794.1
PRRX1 ENSGALG00000003324 MA0716.1
PRRX2 ENSGALG00000028236 MA0075.3
PTF1A ENSGALG00000027144 MA1618.1
RARA ENSGALG00000037935 MA0729.1
RARB ENSGALG00000011298 MA0857.1
RARG ENSGALG00000033404 MA0859.1
RAX ENSGALG00000033279 MA0718.1
RAX2 ENSGALG00000013431 MA0717.1
RBPJ ENSGALG00000014365 MA1116.1
RBPJL ENSGALG00000003952 MA1621.1
REL ENSGALG00000007845 MA0101.1
RELA ENSGALG00000039409 MA0107.1
REST ENSGALG00000054198 MA0138.2
RFX1 ENSGALG00000051163 MA0509.2
RFX1 ENSGALG00000051163 MA0365.1
RFX2 ENSGALG00000001773 MA0600.2
RFX3 ENSGALG00000010179 MA0798.2
RFX4 ENSGALG00000012647 MA0799.1
RFX5 ENSGALG00000000836 MA0510.2
RFX7 ENSGALG00000041896 MA1554.1
RORA ENSGALG00000003759 MA0071.1
RORB ENSGALG00000015150 MA1150.1
RORC ENSGALG00000033941 MA1151.1
RREB1 ENSGALG00000012799 MA0073.1
RUNX1 ENSGALG00000016022 MA0002.2
RUNX2 ENSGALG00000040276 MA0511.2
RUNX3 ENSGALG00000043372 MA0684.2
RXRA ENSGALG00000042055 MA0512.2
RXRG ENSGALG00000040730 MA0856.1
SCRT1 ENSGALG00000040641 MA0743.2
SCRT2 ENSGALG00000028912 MA0744.2
SHOX ENSGALG00000016698 MA0630.1
SHOX2 ENSGALG00000039728 MA0720.1
SIX1 ENSGALG00000029401 MA1118.1
SIX2 ENSGALG00000023303 MA1119.1
SIX3 ENSGALG00000032259 MA0631.1
SIX4 ENSGALG00000017389 MA0204.1
SMAD3 ENSGALG00000035701 MA0795.1
SMAD5 ENSGALG00000006309 MA1557.1
SNAI1 ENSGALG00000008018 MA1558.1
SNAI2 ENSGALG00000030902 MA0745.2
SOX1 ENSGALG00000030353 MA0870.1
SOX10 ENSGALG00000012290 MA0442.2
SOX11 ENSGALG00000016397 MA0869.1
SOX13 ENSGALG00000000583 MA1120.1
SOX14 ENSGALG00000037352 MA1562.1
SOX17 ENSGALG00000032994 MA0078.1
SOX18 ENSGALG00000034118 MA1563.1
SOX2 ENSGALG00000043460 MA0143.4
SOX21 ENSGALG00000035157 MA0866.1
SOX3 ENSGALG00000054923 MA0514.1
SOX4 ENSGALG00000036497 MA0867.2
SOX5 ENSGALG00000032768 MA0087.1
SOX6 ENSGALG00000006074 MA0515.1
SOX8 ENSGALG00000005263 MA0868.2
SOX9 ENSGALG00000004386 MA0077.1
SP1 ENSGALG00000035487 MA0079.4
SP2 ENSGALG00000000233 MA0516.2
SP3 ENSGALG00000031796 MA0746.2
SP4 ENSGALG00000039454 MA0685.1
SP8 ENSGALG00000035725 MA0747.1
SP9 ENSGALG00000043079 MA1564.1
SPDEF ENSGALG00000002792 MA0686.1
SPI1 ENSGALG00000008127 MA0080.5
SPIC ENSGALG00000054799 MA0687.1
SREBF1 ENSGALG00000027188 MA0595.1
SREBF2 ENSGALG00000041687 MA0596.1
SRF ENSGALG00000032029 MA0083.3
STAT1 ENSGALG00000007651 MA0137.3
STAT2 ENSGALG00000030661 MA1623.1
STAT3 ENSGALG00000003267 MA0144.2
STAT4 ENSGALG00000033087 MA0518.1
STAT5A ENSGALG00000003282 MA1624.1
STAT6 ENSGALG00000048759 MA0520.1
SWI5 ENSGALG00000047230 MA0402.1
TBP ENSGALG00000011171 MA0108.2
TBR1 ENSGALG00000036378 MA0802.1
TBX1 ENSGALG00000041182 MA0805.1
TBX15 ENSGALG00000014776 MA0803.1
TBX18 ENSGALG00000032789 MA1565.1
TBX19 ENSGALG00000015244 MA0804.1
TBX2 ENSGALG00000034297 MA0688.1
TBX20 ENSGALG00000032097 MA0689.1
TBX21 ENSGALG00000050240 MA0690.1
TBX3 ENSGALG00000036043 MA1566.1
TBX4 ENSGALG00000005285 MA0806.1
TBX5 ENSGALG00000008253 MA0807.1
TBX6 ENSGALG00000006374 MA1567.1
TBXT ENSGALG00000011489 MA0009.2
TCF12 ENSGALG00000004304 MA0521.1
TCF21 ENSGALG00000029024 MA0832.1
TCF3 ENSGALG00000001093 MA0522.3
TCF7 ENSGALG00000006480 MA0769.2
TCF7L1 ENSGALG00000032656 MA1421.1
TCF7L2 ENSGALG00000008883 MA0523.1
TCFL5 ENSGALG00000045499 MA0632.2
TCP1 ENSGALG00000011637 MA1284.1
TEAD1 ENSGALG00000005415 MA0090.3
TEAD3 ENSGALG00000043513 MA0808.1
TEAD4 ENSGALG00000014342 MA0809.2
TEF ENSGALG00000011958 MA0843.1
TFAP2A ENSGALG00000012775 MA0003.4
TFAP2B ENSGALG00000016680 MA0811.1
TFAP2C ENSGALG00000007690 MA0524.2
TFAP2E ENSGALG00000039497 MA1569.1
TFAP4 ENSGALG00000027823 MA0691.1
TFCP2 ENSGALG00000035530 MA0145.3
TFDP1 ENSGALG00000016823 MA1122.1
TFEB ENSGALG00000039878 MA0692.1
TFEC ENSGALG00000040557 MA0871.2
TGIF1 ENSGALG00000014795 MA0796.1
TGIF2 ENSGALG00000024081 MA0797.1
THAP1 ENSGALG00000015385 MA0597.1
THRB ENSGALG00000011294 MA1574.1
TP63 ENSGALG00000007324 MA0525.2
TP73 ENSGALG00000001006 MA0861.1
TTK ENSGALG00000015874 MA0460.1
TWIST1 ENSGALG00000041640 MA1123.2
TWIST2 ENSGALG00000004274 MA0633.1
UNCX ENSGALG00000051930 MA0721.1
USF1 ENSGALG00000037595 MA0093.3
VAX1 ENSGALG00000009261 MA0722.1
VDR ENSGALG00000033090 MA0693.2
VEZF1 ENSGALG00000005530 MA1578.1
VSX1 ENSGALG00000037576 MA0181.1
VSX1 ENSGALG00000037576 MA0725.1
VSX2 ENSGALG00000033517 MA0726.1
VSX2 ENSGALG00000033517 MA0180.1
WT1 ENSGALG00000012115 MA1627.1
XBP1 ENSGALG00000005796 MA0844.1
XBP1 ENSGALG00000005796 MA0414.1
YAP1 ENSGALG00000038154 MA0415.1
YY2 ENSGALG00000017388 MA0748.2
ZBED1 ENSGALG00000016681 MA0749.1
ZBTB14 ENSGALG00000038340 MA1650.1
ZBTB18 ENSGALG00000010705 MA0698.1
ZBTB26 ENSGALG00000042762 MA1579.1
ZBTB32 ENSGALG00000038540 MA1580.1
ZBTB33 ENSGALG00000008611 MA0527.1
ZBTB6 ENSGALG00000021570 MA1581.1
ZBTB7A ENSGALG00000025907 MA0750.2
ZBTB7C ENSGALG00000033408 MA0695.1
ZEB1 ENSGALG00000007260 MA0103.3
ZFX ENSGALG00000016327 MA0146.2
ZIC1 ENSGALG00000040532 MA0696.1
ZIC2 ENSGALG00000041083 MA1629.1
ZIC3 ENSGALG00000031144 MA0697.1
ZIC4 ENSGALG00000006810 MA0751.1
ZIC5 ENSGALG00000034197 MA1584.1
ZNF143 ENSGALG00000005787 MA0088.2
ZNF148 ENSGALG00000012049 MA1653.1
ZNF282 ENSGALG00000039048 MA1154.1
ZNF341 ENSGALG00000002968 MA1655.1
ZNF384 ENSGALG00000032599 MA1125.1
ZNF410 ENSGALG00000010193 MA0752.1
ZNF423 ENSGALG00000003891 MA0116.1
ZNF652 ENSGALG00000001279 MA1657.1
ZNF740 ENSGALG00000033246 MA0753.2
ZSCAN29 ENSGALG00000046739 MA1602.1
ASCL1 ENSGALG00000037082 MA1631.1
MEIS1 ENSGALG00000041626 MA1639.1
MEIS2 ENSGALG00000039118 MA1640.1
POU5F3 ENSGALG00000031482 MA1115.1
