Species,Symbol,Ensembl,Family,Protein,Entrez.ID,updated_Entrez
Gallus_gallus,ATF4,ENSGALG00000012135,TF_bZIP,ENSGALP00000037099;ENSGALP00000064669;,395693,395693
Gallus_gallus,ATF6,ENSGALG00000032278,TF_bZIP,ENSGALP00000043808;,424365,424365
Gallus_gallus,ATMIN,ENSGALG00000040475,zf-C2H2,ENSGALP00000049486;,426138,426138
Gallus_gallus,ATOH7,ENSGALG00000003931,bHLH,ENSGALP00000040088;,395388,395388
Gallus_gallus,ATOH8,ENSGALG00000033083,bHLH,ENSGALP00000043768;,771738,771738
Gallus_gallus,BACH1,ENSGALG00000015828,TF_bZIP,ENSGALP00000025472;,418488,418488
Gallus_gallus,BACH2,ENSGALG00000015605,TF_bZIP,ENSGALP00000025114;,421809,421809
Gallus_gallus,BARHL1,ENSGALG00000043217,Homeobox,ENSGALP00000054174;,429598,429598
Gallus_gallus,BARHL2,ENSGALG00000040069,Homeobox,ENSGALP00000057131;,107053959,107053959
Gallus_gallus,BARX1,ENSGALG00000035557,Homeobox,ENSGALP00000054219;,374017,374017
Gallus_gallus,BARX2,ENSGALG00000029382,Homeobox,ENSGALP00000051619;,395714,395714
Gallus_gallus,BATF,ENSGALG00000010323,TF_bZIP,ENSGALP00000049010;ENSGALP00000016785;,423364,423364
Gallus_gallus,BATF3,ENSGALG00000035516,TF_bZIP,ENSGALP00000046101;,421368,421368
Gallus_gallus,BAZ2A,ENSGALG00000029588,MBD,ENSGALP00000046799;ENSGALP00000052372;ENSGALP00000044617;,101747779,101747779
Gallus_gallus,BAZ2B,ENSGALG00000012579,MBD,ENSGALP00000055056;ENSGALP00000043762;ENSGALP00000020513;ENSGALP00000053662;,395400,395400
Gallus_gallus,BCL11A,ENSGALG00000034048,zf-C2H2,ENSGALP00000054060;,421199,421199
Gallus_gallus,BCL11B,ENSGALG00000031862,zf-C2H2,ENSGALP00000052312;ENSGALP00000057229;ENSGALP00000058543;,423444,423444
Gallus_gallus,BCL6,ENSGALG00000007357,ZBTB,ENSGALP00000011884;ENSGALP00000011884;,424912,424912
Gallus_gallus,BCLAF1,ENSGALG00000013935,Others,-,100858086,100858086
Gallus_gallus,BHLHA15,ENSGALG00000032881,bHLH,ENSGALP00000058194;,-,107049029
Gallus_gallus,BHLHE22,ENSGALG00000040249,bHLH,ENSGALP00000052487;,395164,395164
Gallus_gallus,BHLHE23,ENSGALG00000005718,bHLH,ENSGALP00000009161;,395165,395165
Gallus_gallus,BHLHE40,ENSGALG00000008308,bHLH,ENSGALP00000056903;,416108,416108
Gallus_gallus,BHLHE41,ENSGALG00000041414,bHLH,ENSGALP00000054409;,-,101750689
Gallus_gallus,BLZF1,ENSGALG00000015225,Others,-,418371,418371
Gallus_gallus,BNC1,ENSGALG00000006041,zf-C2H2,ENSGALP00000009716;,427504,427504
Gallus_gallus,BSX,ENSGALG00000006515,Homeobox,ENSGALP00000010513;,395183,395183
Gallus_gallus,BZFP1,ENSGALG00000027546,zf-C2H2,ENSGALP00000044958;ENSGALP00000042881;,396247,396247
Gallus_gallus,CAMTA1,ENSGALG00000039525,CG-1,ENSGALP00000050108;,419369,419369
Gallus_gallus,CAPN15,ENSGALG00000002018,Others,-,416389,416389
Gallus_gallus,CARF,ENSGALG00000008474,Others,-,424090,424090
Gallus_gallus,CARHSP1,ENSGALG00000042981,CSD,ENSGALP00000055183;,416640,416640
Gallus_gallus,CASZ1,ENSGALG00000002888,Others,-,419452,419452
Gallus_gallus,CBFB,ENSGALG00000003169,CBF,ENSGALP00000061601;ENSGALP00000005013;ENSGALP00000061217;,395257,395257
Gallus_gallus,CC2D1B,ENSGALG00000010619,Others,-,772226,772226
Gallus_gallus,CDC5L,ENSGALG00000016704,MYB,ENSGALP00000035905;,422052,422052
Gallus_gallus,CDIP1,ENSGALG00000036502,zf-LITAF-like,ENSGALP00000051923;,416662,416662
Gallus_gallus,CDX1,ENSGALG00000005679,Homeobox,ENSGALP00000009094;,395397,395397
Gallus_gallus,CDX2,ENSGALG00000034983,Homeobox,ENSGALP00000051859;ENSGALP00000045645;,374205,374205
Gallus_gallus,CDX4,ENSGALG00000007657,Homeobox,ENSGALP00000012387;,395320,395320
Gallus_gallus,CEBPA,ENSGALG00000026525,TF_bZIP,ENSGALP00000043098;,427549,427549
Gallus_gallus,CEBPB,ENSGALG00000008014,TF_bZIP,ENSGALP00000012991;,396185,396185
Gallus_gallus,CEBPD,ENSGALG00000040180,TF_bZIP,ENSGALP00000058356;,-,107052707
Gallus_gallus,CEBPG,ENSGALG00000032365,TF_bZIP,ENSGALP00000054812;ENSGALP00000062013;ENSGALP00000056945;,395800,395800
Gallus_gallus,CEBPZ,ENSGALG00000040335,Others,-,421474,421474
Gallus_gallus,CENPS,ENSGALG00000024481,Others,-,771417,771417
Gallus_gallus,CENPT,ENSGALG00000028900,Others,-,415654,415654
Gallus_gallus,CLOCK,ENSGALG00000013793,bHLH,ENSGALP00000036748;ENSGALP00000036747;,373991,373991
Gallus_gallus,CNBP,ENSGALG00000005001,Others,-,395731,395731
Gallus_gallus,CPEB1,ENSGALG00000002150,Others,-,415326,415326
Gallus_gallus,CREB1,ENSGALG00000008494,TF_bZIP,ENSGALP00000013824;,395099,395099
Gallus_gallus,CREB3,ENSGALG00000002523,TF_bZIP,ENSGALP00000050063;ENSGALP00000003967;,427417,427417
Gallus_gallus,CREB3L1,ENSGALG00000008393,TF_bZIP,ENSGALP00000013658;,100859610,100859610
Gallus_gallus,CREB3L2,ENSGALG00000012877,TF_bZIP,ENSGALP00000020974;,418123,418123
Gallus_gallus,CREB3L3,ENSGALG00000001252,TF_bZIP,ENSGALP00000001898;,428333,428333
Gallus_gallus,CREB5,ENSGALG00000038265,TF_bZIP,ENSGALP00000047554;ENSGALP00000044432;ENSGALP00000058159;,428435,428435
Gallus_gallus,CREBL2,ENSGALG00000037030,Others,-,426496,426496
Gallus_gallus,CREBRF,ENSGALG00000002878,Others,-,416206,416206
Gallus_gallus,CREBZF,ENSGALG00000039605,TF_bZIP,ENSGALP00000053536;,101752023,101752023
Gallus_gallus,CREM,ENSGALG00000007082,TF_bZIP,ENSGALP00000011458;ENSGALP00000051251;ENSGALP00000056053;ENSGALP00000041921;,378903,378903
Gallus_gallus,CSDC2,ENSGALG00000030101,CSD,ENSGALP00000047810;,425183,425183
Gallus_gallus,CSDE1,ENSGALG00000002139,CSD,ENSGALP00000039235;,419886,419886
Gallus_gallus,CSRNP1,ENSGALG00000027905,CSRNP_N,ENSGALP00000043238;,420425,420425
Gallus_gallus,CSRNP2,ENSGALG00000032004,CSRNP_N,ENSGALP00000054555;,100859835,100859835
Gallus_gallus,CSRNP3,ENSGALG00000010971,CSRNP_N,ENSGALP00000047232;ENSGALP00000063879;ENSGALP00000017852;ENSGALP00000061055;,772101,772101
Gallus_gallus,CTCF,ENSGALG00000001817,zf-C2H2,ENSGALP00000058125;ENSGALP00000002808;,396274,396274
Gallus_gallus,CUX1 ,ENSGALG00000029635,CUT,ENSGALP00000051784;,-,101749861
Gallus_gallus,CUX2,ENSGALG00000004598,CUT,ENSGALP00000063617;ENSGALP00000007307;,416875,416875
Gallus_gallus,DACH1,ENSGALG00000037015,DACH,ENSGALP00000056483;ENSGALP00000053264;,373935,373935
Gallus_gallus,DACH2,ENSGALG00000006886,DACH,ENSGALP00000011141;,395576,395576
Gallus_gallus,DBX1,ENSGALG00000003965,Homeobox,ENSGALP00000006307;,422976,422976
Gallus_gallus,DBX2,ENSGALG00000009604,Homeobox,ENSGALP00000061268;ENSGALP00000037987;ENSGALP00000062552;ENSGALP00000063744;,417801,417801
Gallus_gallus,DEAF1,ENSGALG00000034225,SAND,ENSGALP00000056280;ENSGALP00000061492;,423017,423017
Gallus_gallus,description:hairy,ENSGALG00000001136,bHLH,ENSGALP00000034554;,419390,419390
Gallus_gallus,description:Histone,ENSGALG00000037930,Others,-,768333,768333
Gallus_gallus,DLX1,ENSGALG00000018439,Homeobox,ENSGALP00000006636;,429283,429283
Gallus_gallus,DLX2,ENSGALG00000039436,Homeobox,ENSGALP00000052409;,-,107053847
Gallus_gallus,DLX3,ENSGALG00000040529,Homeobox,ENSGALP00000044696;,395590,395590
Gallus_gallus,DLX4,ENSGALG00000045023,Homeobox,ENSGALP00000061681;,-,769348
Gallus_gallus,DLX5,ENSGALG00000009129,Homeobox,ENSGALP00000014846;,373969,373969
Gallus_gallus,DLX6,ENSGALG00000023195,Homeobox,ENSGALP00000037212;,772070,772070
Gallus_gallus,DMBX1,ENSGALG00000010436,Homeobox,ENSGALP00000032474;,395271,395271
Gallus_gallus,DMRT1,ENSGALG00000010160,DM,ENSGALP00000037648;ENSGALP00000016502;ENSGALP00000059163;,-,769693
Gallus_gallus,DMRT2,ENSGALG00000026790,DM,ENSGALP00000043296;,100858556,100858556
Gallus_gallus,DMRT3,ENSGALG00000010161,DM,ENSGALP00000016504;,431641,431641
Gallus_gallus,DMRTB1,ENSGALG00000029023,DM,ENSGALP00000042279;,429107,429107
Gallus_gallus,DMTF1,ENSGALG00000030844,MYB,ENSGALP00000048065;ENSGALP00000045527;,418646,418646
Gallus_gallus,DNAJC1,ENSGALG00000007914,MYB,ENSGALP00000012838;,420508,420508
Gallus_gallus,DNAJC2,ENSGALG00000008249,MYB,ENSGALP00000013413;,417717,417717
Gallus_gallus,DRGX,ENSGALG00000030822,Homeobox,ENSGALP00000052645;,771373,771373
Gallus_gallus,E2F1,ENSGALG00000003045,E2F,ENSGALP00000042464;ENSGALP00000004806;,396142,396142
Gallus_gallus,E2F3,ENSGALG00000012680,E2F,ENSGALP00000036527;,420824,420824
Gallus_gallus,E2F4,ENSGALG00000001722,E2F,ENSGALP00000002638;ENSGALP00000043952;,769430,769430
Gallus_gallus,E2F5,ENSGALG00000038915,E2F,ENSGALP00000056285;ENSGALP00000047710;,420206,420206
Gallus_gallus,E2F6,ENSGALG00000016454,E2F,ENSGALP00000030960;ENSGALP00000046246;,421943,421943
Gallus_gallus,E2F7,ENSGALG00000031340,E2F,ENSGALP00000048416;,417868,417868
Gallus_gallus,E2F8,ENSGALG00000041299,E2F,ENSGALP00000053725;ENSGALP00000055120;,422978,422978
Gallus_gallus,E4F1,ENSGALG00000005900,zf-C2H2,ENSGALP00000009479;,416560,416560
Gallus_gallus,EBF1,ENSGALG00000003699,COE,ENSGALP00000045449;ENSGALP00000028428;,395512,395512
Gallus_gallus,EBF2,ENSGALG00000000242,COE,ENSGALP00000000320;,395176,395176
Gallus_gallus,EBF3,ENSGALG00000010461,COE,ENSGALP00000017011;ENSGALP00000056171;ENSGALP00000052245;,395175,395175
Gallus_gallus,EGR1,ENSGALG00000007669,zf-C2H2,ENSGALP00000047376;ENSGALP00000012417;,373931,373931
Gallus_gallus,EGR2,ENSGALG00000040971,zf-C2H2,ENSGALP00000044928;,107053633,101748577
Gallus_gallus,EGR3,ENSGALG00000037437,zf-C2H2,ENSGALP00000058976;ENSGALP00000053301;,-,102725543
Gallus_gallus,EGR4,ENSGALG00000016086,zf-C2H2,ENSGALP00000025873;,422950,422950
Gallus_gallus,EHF,ENSGALG00000007817,ETS,ENSGALP00000012673;,425791,425791
Gallus_gallus,ELF1,ENSGALG00000016947,ETS,ENSGALP00000027339;,418828,418828
Gallus_gallus,ELF2,ENSGALG00000009774,ETS,ENSGALP00000015878;ENSGALP00000044192;ENSGALP00000043590;ENSGALP00000055127;,422439,422439
Gallus_gallus,ELF3,ENSGALG00000000616,ETS,ENSGALP00000000871;,421177,421177
Gallus_gallus,ELF5,ENSGALG00000035867,ETS,ENSGALP00000049856;,428859,428859
Gallus_gallus,ELK3,ENSGALG00000043701,ETS,ENSGALP00000056017;,417919,417919
Gallus_gallus,ELMSAN1,ENSGALG00000009282,Others,-,423245,423245
Gallus_gallus,EMX1,ENSGALG00000030516,Homeobox,ENSGALP00000052472;,768977,768977
Gallus_gallus,EMX2,ENSGALG00000009302,Homeobox,ENSGALP00000015123;,423923,423923
Gallus_gallus,EN1,ENSGALG00000042389,Homeobox,ENSGALP00000052689;,771008,771008
Gallus_gallus,EN2,ENSGALG00000036560,Homeobox,ENSGALP00000052586;,100859435,100859435
Gallus_gallus,EOMES,ENSGALG00000027247,T-box,ENSGALP00000041400;,428443,428443
Gallus_gallus,EP400,ENSGALG00000043250,MYB,ENSGALP00000057061;,-,100857793
Gallus_gallus,EPAS1,ENSGALG00000010005,Others,-,395596,395596
Gallus_gallus,ERG,ENSGALG00000016058,ETS,ENSGALP00000049471;ENSGALP00000048441;ENSGALP00000029713;ENSGALP00000025825;,374146,374146
Gallus_gallus,ESR1,ENSGALG00000012973,ESR-like,ENSGALP00000021137;,396099,396099
Gallus_gallus,ESR2,ENSGALG00000011801,ESR-like,ENSGALP00000019234;,395575,395575
Gallus_gallus,ESRRB,ENSGALG00000041775,ESR-like,ENSGALP00000044362;ENSGALP00000050866;,771938,771938
Gallus_gallus,ESRRG,ENSGALG00000009645,ESR-like,ENSGALP00000056557;ENSGALP00000054182;ENSGALP00000044483;ENSGALP00000052106;ENSGALP00000015691;,421357,421357
Gallus_gallus,ETS1,ENSGALG00000001143,ETS,ENSGALP00000001715;ENSGALP00000001717;,396235,396235
Gallus_gallus,ETS2,ENSGALG00000016059,ETS,ENSGALP00000025826;,396250,396250
