"Chick_ENSEMBL","Chick_Entrezid","Human_Entrezid","Symbol","TF_Status"
"ENSGALG00000000476",419539,80059,"LRRTM4","No"
"ENSGALG00000000478",419951,26115,"TANC2","No"
"ENSGALG00000000497",419812,NA,NA,"No"
"ENSGALG00000000498",419953,NA,"ACE","No"
"ENSGALG00000000504",419813,51513,"ETV7","Transcription Factor"
"ENSGALG00000000505",414871,81033,"KCNH6","No"
"ENSGALG00000000507",415851,27132,"CPNE7","No"
"ENSGALG00000000510",771554,10238,"DCAF7","No"
"ENSGALG00000000511",419814,222658,"KCTD20","No"
"ENSGALG00000000513",415853,92822,"ZNF276","Transcription Factor"
"ENSGALG00000000516",415854,2175,"FANCA","No"
"ENSGALG00000000518",101748977,59349,"KLHL12","No"
"ENSGALG00000000521",415855,84501,"SPIRE2","No"
"ENSGALG00000000523",428260,11329,"STK38","No"
"ENSGALG00000000525",419954,4215,"MAP3K3","No"
"ENSGALG00000000528",415857,79007,"DBNDD1","No"
"ENSGALG00000000529",419955,80774,"LIMD2","No"
"ENSGALG00000000533",419815,6428,"SRSF3","No"
"ENSGALG00000000535",419364,54206,"ERRFI1","No"
"ENSGALG00000000538",419956,140432,"RNF113B","No"
"ENSGALG00000000540",415858,2622,"GAS8","No"
"ENSGALG00000000541",421172,9877,"ZC3H11B","No"
"ENSGALG00000000542",419549,51042,"ZNF593","No"
"ENSGALG00000000544",100859805,401258,"RAB44","No"
"ENSGALG00000000545",431167,5972,"REN","No"
"ENSGALG00000000549",415859,NA,"URAH","No"
"ENSGALG00000000550",419957,92335,"STRADA","No"
"ENSGALG00000000551",419817,221477,"C26H6orf89","No"
"ENSGALG00000000556",404535,10911,"UTS2","No"
"ENSGALG00000000557",426690,55224,"ETNK2","No"
"ENSGALG00000000558",420057,6511,"SLC1A6","No"
"ENSGALG00000000560",419818,NA,NA,"No"
"ENSGALG00000000564",419958,57003,"CCDC47","No"
"ENSGALG00000000568",NA,59352,"LGR6","No"
"ENSGALG00000000573",419366,8863,"PER3","No"
"ENSGALG00000000576",768974,51093,"RRNAD1","No"
"ENSGALG00000000577",420058,8498,"RANBP3","No"
"ENSGALG00000000579",419368,9341,"VAMP3","No"
"ENSGALG00000000581",419959,11325,"DDX42","No"
"ENSGALG00000000583",419820,9580,"SOX13","Transcription Factor"
"ENSGALG00000000584",421174,NA,NA,"No"
"ENSGALG00000000585",396472,NA,"MYL4","No"
"ENSGALG00000000589",420061,4340,"BTN1A1","No"
"ENSGALG00000000593",426710,NA,NA,"No"
"ENSGALG00000000596",419960,996,"CDC27","No"
"ENSGALG00000000599",420062,51257,"MARCHF2","No"
"ENSGALG00000000603",419961,284058,"KANSL1","No"
"ENSGALG00000000604",107049081,NA,NA,"No"
"ENSGALG00000000606",421175,127829,"ARL8A","No"
"ENSGALG00000000607",421176,9283,"GPR37L1","No"
"ENSGALG00000000608",415860,999,"CDH1","No"
"ENSGALG00000000611",100857158,84919,"PPP1R15B","No"
"ENSGALG00000000613",420063,NA,"RAB11B","No"
"ENSGALG00000000615",419556,9410,"NWD1","No"
"ENSGALG00000000616",421177,1999,"ELF3","Transcription Factor"
"ENSGALG00000000618",404295,51538,"ZCCHC17","No"
"ENSGALG00000000619",769087,51129,"ANGPTL4","No"
"ENSGALG00000000621",428321,256949,"KANK3","No"
"ENSGALG00000000625",426737,4137,"MAPT","No"
"ENSGALG00000000627",428173,55735,"DNAJC11","No"
"ENSGALG00000000629",420065,NA,"AC010323.1","No"
"ENSGALG00000000630",427564,3038,"HAS3","No"
"ENSGALG00000000632",769609,54921,"CHTF8","No"
"ENSGALG00000000636",419823,4194,"MDM4","No"
"ENSGALG00000000637",419370,3104,"ZBTB48","Transcription Factor"
"ENSGALG00000000638",769632,84916,"UTP4","No"
"ENSGALG00000000639",428261,10446,"LRRN2","No"
"ENSGALG00000000643",769431,124401,"ANKS3","No"
"ENSGALG00000000645",NA,83715,"ESPN","No"
"ENSGALG00000000650",415863,51388,"NIP7","No"
"ENSGALG00000000652",419371,11332,"ACOT7","No"
"ENSGALG00000000653",419825,6900,"CNTN2","No"
"ENSGALG00000000654",101750075,NA,"TMED6","No"
"ENSGALG00000000657",395598,7014,"TERF2","Transcription Factor"
"ENSGALG00000000660",415865,80777,"CYB5B","No"
"ENSGALG00000000667",419559,1907,"EDN2","No"
"ENSGALG00000000668",419826,5929,"RBBP5","No"
"ENSGALG00000000669",426718,2117,"ETV3","Transcription Factor"
"ENSGALG00000000672",768916,22955,"SCMH1","No"
"ENSGALG00000000674",419963,4642,"MYO1D","No"
"ENSGALG00000000678",395465,163732,"CITED4","No"
"ENSGALG00000000681",419083,5058,"PAK1","No"
"ENSGALG00000000684",419829,55220,"KLHDC8A","No"
"ENSGALG00000000685",419964,9020,"MAP3K14","No"
"ENSGALG00000000690",419084,220032,"GDPD4","No"
"ENSGALG00000000692",771736,5129,"CDK18","No"
"ENSGALG00000000693",415867,28987,"NOB1","No"
"ENSGALG00000000695",419831,148808,"MFSD4A","No"
"ENSGALG00000000699",415868,11060,"WWP2","No"
"ENSGALG00000000703",771751,85414,"SLC45A3","No"
"ENSGALG00000000707",415869,5713,"PSMD7","No"
"ENSGALG00000000708",404775,64710,"NUCKS1","No"
"ENSGALG00000000712",NA,8934,"RAB29","No"
"ENSGALG00000000713",395682,463,"ZFHX3","Transcription Factor"
"ENSGALG00000000719",373937,NA,"RPL22","No"
"ENSGALG00000000720",419563,NA,NA,"No"
"ENSGALG00000000721",NA,254428,"SLC41A1","No"
"ENSGALG00000000722",428322,NA,NA,"No"
"ENSGALG00000000723",769300,23673,"STX12","No"
"ENSGALG00000000724",419838,148811,"PM20D1","No"
"ENSGALG00000000726",395637,1994,"ELAVL1","No"
"ENSGALG00000000729",419564,5511,"PPP1R8","No"
"ENSGALG00000000731",419565,9473,"THEMIS2","No"
"ENSGALG00000000734",419566,6118,"RPA2","No"
"ENSGALG00000000736",769076,4145,"MATK","No"
"ENSGALG00000000737",769013,27293,"SMPDL3B","No"
"ENSGALG00000000740",420069,9546,"APBA3","No"
"ENSGALG00000000745",428262,115019,"SLC26A9","No"
"ENSGALG00000000747",100857108,26038,"CHD5","No"
"ENSGALG00000000748",420070,27134,"TJP3","No"
"ENSGALG00000000751",374026,405,"ARNT","Transcription Factor"
"ENSGALG00000000755",419087,55331,"ACER3","No"
"ENSGALG00000000761",419088,25987,"TSKU","No"
"ENSGALG00000000764",425656,6746,"SSR2","No"
"ENSGALG00000000769",771782,338382,"RAB7B","No"
"ENSGALG00000000775",425657,1520,"CTSS","No"
"ENSGALG00000000776",421182,27154,"BRPF3","No"
"ENSGALG00000000777",395717,2140,"EYA3","No"
"ENSGALG00000000783",428209,5724,"PTAFR","No"
"ENSGALG00000000784",420072,23396,"PIP5K1C","No"
"ENSGALG00000000785",426739,3373,"HYAL1","No"
"ENSGALG00000000786",771791,1510,"CTSE","No"
"ENSGALG00000000787",415875,9785,"DHX38","No"
"ENSGALG00000000788",428263,553,"AVPR1B","No"
"ENSGALG00000000790",419569,22826,"DNAJC8","No"
"ENSGALG00000000791",419841,729533,"FAM72A","No"
"ENSGALG00000000793",425660,6944,"VPS72","No"
"ENSGALG00000000795",420074,126321,"MFSD12","No"
"ENSGALG00000000802",415876,NA,"DHODH","No"
"ENSGALG00000000803",100859850,NA,NA,"No"
"ENSGALG00000000806",420075,645191,"LINGO3","No"
"ENSGALG00000000808",419089,NA,NA,"No"
"ENSGALG00000000811",415877,9798,"IST1","No"
"ENSGALG00000000812",395746,4946,"OAZ1","No"
"ENSGALG00000000814",419570,10236,"HNRNPR","No"
"ENSGALG00000000816",419843,23380,"SRGAP2","No"
"ENSGALG00000000817",415878,55565,"ZNF821","Transcription Factor"
"ENSGALG00000000818",428121,NA,NA,"No"
"ENSGALG00000000820",769107,NA,NA,"No"
"ENSGALG00000000824",428278,NA,NA,"No"
"ENSGALG00000000830",NA,NA,NA,"No"
"ENSGALG00000000835",428324,55111,"PLEKHJ1","No"
"ENSGALG00000000836",100857912,5993,"RFX5","Transcription Factor"
"ENSGALG00000000838",428122,5612,"THAP12","Transcription Factor"
"ENSGALG00000000839",395562,7481,"WNT11","No"
"ENSGALG00000000843",420078,84444,"DOT1L","No"
"ENSGALG00000000845",419091,7405,"UVRAG","No"
"ENSGALG00000000847",417087,84253,"GARNL3","No"
"ENSGALG00000000848",415880,164,"AP1G1","No"
"ENSGALG00000000853",378802,29988,"SLC2A8","No"
"ENSGALG00000000855",419572,10269,"ZMPSTE24","No"
"ENSGALG00000000856",419845,1939,"EIF2D","No"
"ENSGALG00000000857",419966,4836,"NMT1","No"
"ENSGALG00000000862",419573,6018,"RLF","Transcription Factor"
"ENSGALG00000000863",419846,8444,"DYRK3","No"
"ENSGALG00000000864",417088,26190,"FBXW2","No"
"ENSGALG00000000866",425664,8991,"SELENBP1","No"
"ENSGALG00000000868",419092,55298,"RNF121","No"
"ENSGALG00000000870",419967,79877,"DCAKD","No"
"ENSGALG00000000871",429485,417,"ART1","No"
"ENSGALG00000000875",415881,23035,"PHLPP2","No"
"ENSGALG00000000881",419577,63906,"GPATCH3","No"
"ENSGALG00000000883",419847,9261,"MAPKAPK2","No"
"ENSGALG00000000884",416138,51523,"CXXC5","No"
"ENSGALG00000000887",768353,8431,"NR0B2","Transcription Factor"
"ENSGALG00000000891",417462,55695,"NSUN5","No"
"ENSGALG00000000892",428264,3586,"IL10","No"
"ENSGALG00000000893",415884,6898,"TAT","No"
"ENSGALG00000000895",419578,10726,"NUDC","No"
"ENSGALG00000000901",NA,NA,NA,"No"
"ENSGALG00000000902",769268,126695,"KDF1","No"
"ENSGALG00000000903",395122,54386,"TERF2IP","No"
"ENSGALG00000000905",429986,5692,"PSMB4","No"
"ENSGALG00000000906",417089,9649,"RALGPS1","No"
"ENSGALG00000000907",415885,3735,"KARS","No"
"ENSGALG00000000908",415886,23536,"ADAT1","No"
"ENSGALG00000000909",419969,2670,"GFAP","No"
"ENSGALG00000000911",428265,29949,"IL19","No"
"ENSGALG00000000913",770257,NA,"CHST6","No"
"ENSGALG00000000914",101747521,100528020,"FAM187A","No"
"ENSGALG00000000918",419970,388389,"CCDC103","No"
"ENSGALG00000000919",419848,83953,"PIGR","No"
"ENSGALG00000000920",425665,NA,"CGN","No"
"ENSGALG00000000927",776031,23452,"ANGPTL2","No"
"ENSGALG00000000934",417091,23099,"ZBTB43","Transcription Factor"
"ENSGALG00000000943",419581,23038,"WDTC1","No"
"ENSGALG00000000944",417470,6827,"SUPT4H1","Transcription Factor"
"ENSGALG00000000946",416142,5201,"PFDN1","Transcription Factor"
"ENSGALG00000000949",395654,1839,"HBEGF","No"
"ENSGALG00000000950",417092,89853,"MVB12B","No"
"ENSGALG00000000955",419582,84065,"TMEM222","No"
"ENSGALG00000000962",419708,83480,"PUS3","No"
"ENSGALG00000000966",419377,261734,"NPHP4","No"
"ENSGALG00000000972",417093,NA,"PBX3","Transcription Factor"
"ENSGALG00000000975",419378,339448,"C1orf174","No"
"ENSGALG00000000977",395627,79109,"MAPKAP1","No"
"ENSGALG00000000978",419379,9731,"CEP104","No"
"ENSGALG00000000988",428281,9343,"EFTUD2","No"
"ENSGALG00000000990",419116,6431,"SRSF6","No"
"ENSGALG00000000991",419585,6883,"TAF12","Transcription Factor"
"ENSGALG00000000993",417095,26130,"GAPVD1","No"
"ENSGALG00000000994",428212,NA,NA,"No"
"ENSGALG00000000996",420079,8943,"AP3D1","No"
"ENSGALG00000000997",396501,10052,"GJC3","No"
"ENSGALG00000000998",419586,56181,"MTFR1L","No"
"ENSGALG00000000999",427526,57567,"ZNF319","Transcription Factor"
"ENSGALG00000001000",396487,3309,"HSPA5","No"
"ENSGALG00000001003",NA,57190,"SELENON","No"
"ENSGALG00000001006",112530730,7161,"TP73","Transcription Factor"
"ENSGALG00000001013",772354,5537,"PPP6C","No"
"ENSGALG00000001014",101752218,81873,"ARPC5L","No"
"ENSGALG00000001017",419383,49856,"WRAP73","No"
"ENSGALG00000001019",420080,55643,"BTBD2","No"
"ENSGALG00000001021",427790,93649,"MYOCD","No"
"ENSGALG00000001022",419971,124808,"CCDC43","No"
"ENSGALG00000001024",419384,127262,"TPRG1L","No"
"ENSGALG00000001025",417097,2800,"GOLGA1","No"
"ENSGALG00000001028",100857874,NA,"AC004687.2","No"
"ENSGALG00000001030",420081,113178,"SCAMP4","No"
"ENSGALG00000001031",417471,124535,"HSF5","Transcription Factor"
"ENSGALG00000001034",419118,25980,"AAR2","No"
"ENSGALG00000001035",431047,NA,NA,"Transcription Factor"
"ENSGALG00000001036",417313,60528,"ELAC2","No"
"ENSGALG00000001037",427751,286205,"SCAI","No"
"ENSGALG00000001038",419588,57134,"MAN1C1","No"
"ENSGALG00000001042",417472,9110,"MTMR4","No"
"ENSGALG00000001043",428327,57455,"REXO1","No"
"ENSGALG00000001046",419119,22839,"DLGAP4","No"
"ENSGALG00000001048",417098,169611,"OLFML2A","No"
"ENSGALG00000001049",395764,NA,NA,"No"
"ENSGALG00000001051",419589,26119,"LDLRAP1","No"
"ENSGALG00000001054",768550,100527943,"C20H20ORF24","No"
"ENSGALG00000001055",419972,4905,"NSF","No"
"ENSGALG00000001056",417473,83451,"ABHD11","No"
"ENSGALG00000001058",419386,27237,"ARHGEF16","No"
"ENSGALG00000001062",419121,2686,"GGT7","No"
"ENSGALG00000001067",419590,55219,"TMEM57","No"
"ENSGALG00000001073",772325,2649,"NR6A1","Transcription Factor"
"ENSGALG00000001076",373922,3984,"LIMK1","No"
"ENSGALG00000001078",107049128,NA,NA,"No"
"ENSGALG00000001079",374142,7473,"WNT3","No"
"ENSGALG00000001080",395960,2516,"NR5A1","Transcription Factor"
"ENSGALG00000001081",100857353,100287898,"TTC34","No"
"ENSGALG00000001084",428328,148229,"ATP8B3","No"
"ENSGALG00000001091",419849,79098,"C1orf116","No"
"ENSGALG00000001093",395146,6929,"TCF3","Transcription Factor"
"ENSGALG00000001094",100858563,347088,"ADGRD2","No"
"ENSGALG00000001096",770135,NA,"UQCR11","No"
"ENSGALG00000001097",771092,7484,"WNT9B","No"
"ENSGALG00000001099",416143,54882,"ANKHD1","No"
"ENSGALG00000001101",770153,284428,"MBD3","Transcription Factor"
"ENSGALG00000001103",378915,5695,"PSMB7","No"
"ENSGALG00000001107",419973,9570,"GOSR2","No"
"ENSGALG00000001108",770192,54531,"MIER2","No"
"ENSGALG00000001109",771059,121355,"GTSF1","No"
"ENSGALG00000001110",417478,441250,"TYW1B","No"
"ENSGALG00000001111",NA,NA,NA,"No"
"ENSGALG00000001115",770671,79258,"MMEL1","No"
"ENSGALG00000001117",419850,5208,"PFKFB2","No"
"ENSGALG00000001118",417101,10783,"NEK6","No"
"ENSGALG00000001121",395202,6455,"SH3GL1","No"
"ENSGALG00000001122",417479,83698,"CALN1","No"
"ENSGALG00000001124",395705,9355,"LHX2","Transcription Factor"
"ENSGALG00000001126",770217,10036,"CHAF1A","No"
"ENSGALG00000001130",417480,64409,"GALNT17","No"
"ENSGALG00000001132",101750838,10307,"APBB3","No"
"ENSGALG00000001136",419390,NA,NA,"Transcription Factor"
"ENSGALG00000001141",419392,388585,"HES5","Transcription Factor"
"ENSGALG00000001143",396235,2113,"ETS1","Transcription Factor"
"ENSGALG00000001144",416144,23567,"ZNF346","No"
"ENSGALG00000001146",428329,80700,"UBXN6","No"
"ENSGALG00000001149",415634,221188,"ADGRG5","No"
"ENSGALG00000001153",417481,26053,"AUTS2","No"
"ENSGALG00000001156",NA,NA,NA,"No"
"ENSGALG00000001157",417102,57706,"DENND1A","No"
"ENSGALG00000001158",416145,51720,"UIMC1","No"
"ENSGALG00000001161",419723,2313,"FLI1","Transcription Factor"
"ENSGALG00000001163",417317,NA,"NDEL1","No"
"ENSGALG00000001165",100736561,55229,"PANK4","No"
"ENSGALG00000001167",NA,3758,"KCNJ1","No"
"ENSGALG00000001168",415635,5432,"POLR2C","No"
"ENSGALG00000001169",417104,286204,"CRB2","No"
"ENSGALG00000001171",428330,10501,"SEMA6B","No"
"ENSGALG00000001172",396300,NA,"KBP","No"
"ENSGALG00000001174",417484,81554,"RCC1L","No"
"ENSGALG00000001175",395384,NA,"C4BPA","No"
"ENSGALG00000001177",419856,947,"CD34","No"
"ENSGALG00000001181",395925,3762,"KCNJ5","No"
"ENSGALG00000001182",419122,23054,"NCOA6","No"
"ENSGALG00000001183",396465,4628,"MYH10","No"
"ENSGALG00000001184",415636,57017,"COQ9","No"
"ENSGALG00000001189",417485,653361,"NCF1C","No"
"ENSGALG00000001191",395533,4222,"MEOX1","Transcription Factor"
"ENSGALG00000001201",415642,81577,"GFOD2","No"
"ENSGALG00000001203",419725,120224,"TMEM45B","No"
"ENSGALG00000001204",415643,84080,"ENKD1","No"
"ENSGALG00000001206",NA,NA,NA,"No"
"ENSGALG00000001207",428180,9651,"PLCH2","No"
"ENSGALG00000001209",769066,58476,"TP53INP2","No"
"ENSGALG00000001214",101748842,50855,"PARD6A","No"
"ENSGALG00000001219",419124,128869,"PIGU","No"
"ENSGALG00000001220",415644,9709,"HERPUD1","No"
"ENSGALG00000001223",419396,5192,"PEX10","No"
"ENSGALG00000001225",417106,2844,"RABGAP1","No"
"ENSGALG00000001229",428181,6497,"SKI","Transcription Factor"
"ENSGALG00000001231",419125,25939,"SAMHD1","No"
"ENSGALG00000001234",415645,1071,"CETP","No"
"ENSGALG00000001235",428331,170961,"ANKRD24","No"
"ENSGALG00000001238",417321,9482,"STX8","No"
"ENSGALG00000001239",416147,1836,"SLC26A2","No"
"ENSGALG00000001244",417322,NA,NA,"No"
"ENSGALG00000001245",428332,51548,"SIRT6","No"
"ENSGALG00000001250",419727,334,"APLP2","No"
"ENSGALG00000001252",428333,84699,"CREB3L3","Transcription Factor"
"ENSGALG00000001253",417109,54542,"RC3H2","Transcription Factor"
"ENSGALG00000001256",100857413,84166,"NLRC5","No"
"ENSGALG00000001258",768717,4926,"NUMA1","No"
"ENSGALG00000001262",419595,25932,"CLIC4","No"
"ENSGALG00000001263",417487,9569,"GTF2IRD1","Transcription Factor"
"ENSGALG00000001264",419857,5362,"PLXNA2","No"
"ENSGALG00000001267",396349,NA,"MAP2K2","No"
"ENSGALG00000001270",419399,5590,"PRKCZ","No"
"ENSGALG00000001273",428334,126567,"C2CD4C","No"
"ENSGALG00000001275",772371,5082,"PDCL","No"
"ENSGALG00000001276",771865,3219,"HOXB9","Transcription Factor"
"ENSGALG00000001279",419987,22834,"ZNF652","Transcription Factor"
"ENSGALG00000001282",770710,2563,"GABRD","No"
"ENSGALG00000001283",428216,10250,"SRRM1","No"
"ENSGALG00000001288",NA,85452,"CFAP74","No"
"ENSGALG00000001289",770341,NA,NA,"No"
"ENSGALG00000001299",419989,2695,"GIP","No"
"ENSGALG00000001304",419401,339456,"TMEM52","No"
"ENSGALG00000001306",419730,4798,"NFRKB","Transcription Factor"
"ENSGALG00000001309",419990,11267,"SNF8","No"
"ENSGALG00000001310",419597,54952,"TRNAU1AP","No"
"ENSGALG00000001311",427797,9912,"ARHGAP44","No"
"ENSGALG00000001313",417490,7458,"EIF4H","No"
"ENSGALG00000001314",427752,5742,"PTGS1","No"
"ENSGALG00000001315",419991,65264,"UBE2Z","No"
"ENSGALG00000001316",415646,221184,"CPNE2","No"
"ENSGALG00000001317",428335,10227,"MFSD10","No"
"ENSGALG00000001319",419859,57172,"CAMK1G","No"
"ENSGALG00000001320",396051,1544,"CYP1A2","No"
"ENSGALG00000001325",396052,1543,"CYP1A1","No"
"ENSGALG00000001328",770363,682,"BSG","No"
"ENSGALG00000001329",396493,2035,"EPB41","No"
"ENSGALG00000001330",419992,516,"ATP5MC1","No"
"ENSGALG00000001331",419731,6768,"ST14","No"
"ENSGALG00000001332",419126,5933,"RBL1","No"
"ENSGALG00000001333",417110,92399,"MRRFP1","No"
"ENSGALG00000001334",419402,2782,"GNB1","No"
"ENSGALG00000001335",417324,201158,"FAM18B1","No"
"ENSGALG00000001341",101751641,29068,"ZBTB44","Transcription Factor"
"ENSGALG00000001342",770384,610,"HCN2","No"
"ENSGALG00000001343",428268,3914,"LAMB3","No"
"ENSGALG00000001347",772259,26468,"LHX6","Transcription Factor"
"ENSGALG00000001348",417326,64518,"TEKT3","No"
"ENSGALG00000001350",415648,89970,"RSPRY1","No"
"ENSGALG00000001362",415295,1198,"CLK3","No"
"ENSGALG00000001363",417491,10514,"MYBBP1A","No"
