# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr2_96890408_96892041	SEMA4C (-21254), FAHD2B (+203614)
chr5_81167111_81168323	CKMT2 (-65607), RASGRF2 (+207045)
chr9_116437282_116438110	TRIM32 (-249606), PAPPA (+283892)
chr1_58899039_58899628	FGGY (-397647), JUN (-115007)
chr16_85381715_85382594	FAM92B (-269647), GSE1 (-231061)
chr16_55499862_55500797	LPCAT2 (-8668), MMP2 (+21359)
chr5_78623882_78624599	LHFPL2 (+24584), SCAMP1 (+263658)
chr8_74270766_74272002	JPH1 (+49944), LY96 (+280032)
chr6_125558467_125559329	HDDC2 (-256923), HEY2 (-190682)
chr11_86999893_87000696	FZD4 (-44904), TMEM135 (-37712)
chr17_7816692_7817710	KDM6B (-22703), DNAH2 (+99847)
chr17_32960694_32962849	SPACA3 (-30097), TMEM98 (+33835)
chr11_57236825_57237944	APLNR (-184)
chr5_78765734_78766750	LHFPL2 (-117417), ARSB (+219543)
chr4_98779525_98780661	TSPAN5 (-121464), EIF4E (+149040)
chr18_55748100_55749037	TCF4 (-112542), TXNL1 (+890076)
chr16_75732855_75734187	CNTNAP4 (-543757), ENSG00000283755 (-7079)
chr19_2186000_2186794	DOT1L (+22248), PLEKHJ1 (+49875)
chr16_65283218_65283773	CDH11 (-161298)
chr6_139602194_139603376	CITED2 (-228572)
chr3_41174541_41176003	CTNNB1 (-24167), ZNF621 (+650387)
chr13_85401042_85402004	SLITRK6 (+397965)
chr16_5504171_5505773	RBFOX1 (-514731), EEF2KMT (-407164)
chr1_203364058_203365182	PRELP (-111208), FMOD (-13131)
chr16_77289113_77289894	SYCE1L (+90107), ADAMTS18 (+145610)
chr11_34600342_34601470	ELF5 (-89107), EHF (-31558)
chr10_78588002_78588815	ZMIZ1 (-480626), RPS24 (+554649)
chr7_132164502_132165348	PODXL (-608318), PLXNA4 (+412376)
chr6_167744977_167745914	TCP10 (-360980), AFDN (-82189)
chr6_39887527_39888416	MOCS1 (+39744), DAAM2 (+94954)
chr1_205515741_205516316	MFSD4A (-52948), CDK18 (+11431)
chr2_9703045_9704221	TAF1B (-139721), YWHAQ (-73017)
chr18_7157671_7158672	PTPRM (-408610), LAMA1 (-40358)
chr11_79094494_79095230	NARS2 (-519998), TENM4 (+345789)
chr10_69847252_69848225	H2AFY2 (-205057), COL13A1 (+45807)
chr11_34302445_34303348	ABTB2 (+55111), NAT10 (+197295)
chr5_38672089_38672902	OSMR (-173503), LIFR (-77092)
chr4_155602321_155603912	MAP9 (-226147), GUCY1A3 (-64081)
chr20_33789287_33789957	CHMP4B (-21682), ZNF341 (+57862)
chr1_204275897_204276796	GOLT1A (-62255), PPP1R15B (+135444)
chr15_73944475_73945218	LOXL1 (+18389), STOML1 (+47501)
chr2_233360348_233361667	DGKD (+6501), USP40 (+204582)
chr1_220450803_220451905	RAB3GAP2 (-178900), MARK1 (-76829)
chr11_27186961_27188670	BBOX1 (+146854), LGR4 (+284930)
chr18_37835466_37836623	CELF4 (-270008)
chr11_120612813_120614271	TBCEL (-410579), GRIK4 (+101842)
chr10_78194783_78196599	ZMIZ1 (-873344), RPS24 (+161931)
chr2_235000662_235001474	AGAP1 (-493039), SH3BP4 (+22383)
chr3_141083952_141084714	PXYLP1 (-147495), SPSB4 (+32931)
chr7_6077148_6077758	USP42 (-27431), EIF2AK1 (-18223)
chr5_147882605_147883408	SCGB3A2 (+4296), C5orf46 (+23495)
chr9_134602441_134603256	COL5A1 (-38925), RXRA (+276269)
chr1_15214259_15215084	EFHD2 (-195223), TMEM51 (+62140)
chr7_47763007_47763992	TNS3 (-181356), PKD1L1 (+184991)
chr6_161254514_161255260	AGPAT4 (+19174), MAP3K4 (+263103)
chr15_72967544_72968372	ADPGK (-184173), NEO1 (-83752)
chr16_68656450_68657290	CDH1 (-80355), CDH3 (+12034)
chr8_39581438_39582155	ADAM18 (-2781)
chr17_35788471_35789165	GAS2L2 (-35940), MMP28 (+6764)
chr11_114219587_114220431	NNMT (-37822), ZBTB16 (+160416)
chr3_37504217_37505235	CTDSPL (-357448), ITGA9 (+52607)
chr2_239574022_239575217	HDAC4 (-173671), NDUFA10 (+450782)
chr11_125154017_125155035	TMEM218 (-42818), PKNOX2 (-10180)
chr16_88303943_88304830	ZNF469 (-123084), BANP (+334369)
chr3_14725810_14726677	FGD5 (-92718), C3orf20 (+51145)
chr20_6055216_6055998	LRRN4 (-1558)
chr10_114322095_114323209	AFAP1L2 (+81833), VWA2 (+83322)
chr15_67178084_67179344	AAGAB (+76022), SMAD3 (+112869)
chr4_54197129_54198534	PDGFRA (-31265), GSX2 (+97801)
chr12_115209265_115209681	TBX3 (-525883)
chr10_3094352_3095926	PFKP (+27619), PITRM1 (+77702)
chr6_4224305_4225813	CDYL (-551376), ECI2 (-89462)
chr18_75823242_75823912	SMIM21 (-395874), ZNF516 (+671613)
chr8_25677454_25677995	CDCA2 (+218728), EBF2 (+367672)
chr11_15900834_15901864	SOX6 (+575039), INSC (+788925)
chr12_49983781_49984905	AQP6 (+11169), RACGAP1 (+41095)
chr18_50737087_50738415	MRO (+82313), MAPK4 (+177673)
chr2_236693592_236694565	COPS8 (-391233), ACKR3 (+124438)
chr11_82404826_82405915	PRCP (+495059)
chr1_2135318_2135819	FAAP20 (+59206), PRKCZ (+85099)
chr20_37314056_37315003	SRC (-31624), MANBAL (+17634)
chr15_39140023_39140629	RASGRP1 (-575520), THBS1 (-440767)
chr5_174618188_174619074	MSX2 (-105902), HGNC:24955 (+573027)
chr17_7747500_7748578	KDM6B (-91865), DNAH2 (+30685)
chr2_237297068_237299071	COL6A3 (+116305), COPS8 (+212758)
chr5_80204445_80205577	SERINC5 (+51068), THBS4 (+169663)
chr12_75892644_75893329	KRR1 (-381366), PHLDA1 (+140945)
chr4_124018736_124019386	SPRY1 (+622266), ANKRD50 (+693671)
chr1_91594417_91595279	CDC7 (+93740), TGFBR3 (+291431)
chr3_65039624_65040312	ADAMTS9 (-351968), MAGI1 (+998340)
chr2_393431_394634	ALKAL2 (-105737), TMEM18 (+283406)
chr3_123773621_123774373	HACD2 (-188812), MYLK (+102621)
chr9_134661556_134662722	FCN2 (-218673), COL5A1 (+20365)
chr3_124401512_124402356	UMPS (-328432), KALRN (+307253)
chr9_71681871_71682372	TRPM3 (-560524), TMEM2 (+86762)
chr13_27022456_27023301	GPR12 (-262094), USP12 (+149017)
chr11_44702725_44703408	TSPAN18 (-61359), CD82 (+137476)
chr2_20491937_20492542	RHOB (+45166), HS1BP3 (+158849)
chr4_3710252_3711351	LRPAP1 (-178243), ADRA2C (-55596)
chr16_57509646_57510600	DOK4 (-30318), CCDC102A (+26476)
chr2_47243766_47244356	EPCAM (-125087), CALM2 (-67460)
chr11_79119564_79120237	NARS2 (-545037), TENM4 (+320750)
chr17_2068128_2069008	SRR (-235136), HIC1 (+12258)
chr2_188517637_188518732	COL3A1 (-456135), GULP1 (+225353)
chr6_42125131_42126092	ENSG00000214732 (-29834), TAF8 (+75088)
chr4_120801217_120801801	MAD2L1 (-734435), PRDM5 (+121340)
chr1_160629652_160631337	CD84 (-50991), SLAMF1 (+16463)
chr8_48643094_48644051	EFCAB1 (+91659), UBE2V2 (+635173)
chr6_11269948_11270915	TMEM170B (-267846), NEDD9 (-37750)
chr16_83143693_83144316	HSBP1 (-663838), CDH13 (+517040)
chr8_104336243_104337564	DCSTAMP (-2922)
chr11_118618020_118618614	PHLDB1 (+11877), TREH (+61356)
chr17_68820671_68822541	FAM20A (-220217), ABCA8 (+133635)
chr9_95856619_95857927	PTCH1 (-348612), ERCC6L2 (-18428)
chr7_50359542_50360915	IKZF1 (+55447), FIGNL1 (+89495)
chr6_152313327_152314894	SYNE1 (+323288), ESR1 (+623615)
chr1_212627992_212628586	FAM71A (+3815), BATF3 (+71696)
chr8_66195492_66196386	RRS1 (-233089), CRH (-17214)
chr17_35801532_35802066	TAF15 (-7656), MMP28 (-6217)
chr10_4662732_4663856	KLF6 (-878019), AKR1E2 (-162960)
chr14_95495980_95497649	GLRX5 (-37778), SYNE3 (-20979)
chr2_218693831_218694954	RNF25 (-21982), TTLL4 (-16482)
chr2_29055471_29056876	C2orf71 (+18087), WDR43 (+161531)
chr1_162884871_162885853	RGS4 (-183413), HSD17B7 (+94616)
chr2_138334545_138335461	SPOPL (-166798), HNMT (+370693)
chr20_56439782_56440353	RTFDC1 (-28517), CASS4 (+27956)
chr17_31740702_31741969	COPRS (+118001), RAB11FIP4 (+349712)
chr12_111775356_111776324	MAPKAPK5 (-66786), ALDH2 (+8918)
chr15_101148786_101149742	CHSY1 (+102668), LRRK1 (+230049)
chr7_142956820_142958082	KEL (+5230), C7orf34 (+17945)
chr16_55502705_55503259	LPCAT2 (-6016), MMP2 (+24011)
chr17_48600231_48601091	HOXB5 (-6700), HOXB6 (+4331)
chr15_63014438_63015440	TPM1 (-27746), TLN2 (+453574)
chr2_45761634_45762573	EPAS1 (-535298), PRKCE (+110330)
chr11_57144230_57145170	LRRC55 (-37047), OR5AK2 (+155828)
chr5_35354780_35355347	IL7R (-501785), PRLR (-124475)
chr10_78634428_78635913	ZMIZ1 (-433864), RPS24 (+601411)
chr10_104711308_104711897	SORCS3 (+70502)
chr5_135271624_135272811	PITX1 (-237920), H2AFY (+127404)
chr12_109695584_109697006	TRPV4 (+118596), MVK (+121488)
chr8_56682110_56682829	PENK (-236440), IMPAD1 (+311374)
chr9_123377606_123378200	CRB2 (+21643), DENND1A (+552204)
chr10_69731122_69731968	COL13A1 (-70387), C10orf35 (+101287)
chr1_63717214_63718778	ROR1 (-56047), PGM1 (+94903)
chr22_24954016_24954825	CRYBB3 (-245429), TMEM211 (-7726)
chr1_37174905_37176126	ZC3H12A (-299036), GRIK3 (-141391)
chr2_30412362_30413414	LCLAT1 (-34369), LBH (+181357)
chr11_65522020_65523645	SCYL1 (-2244)
chr21_17436591_17437446	CXADR (-75363)
chr18_46088433_46089170	PSTPIP2 (-16542), ATP5A1 (+9551)
chr16_26188869_26190045	HS3ST4 (+497431)
chr1_29156582_29157526	TMEM200B (-34553), SRSF4 (+24933)
chr10_3755253_3756226	PITRM1 (-582899), KLF6 (+29535)
chr15_73940875_73941772	LOXL1 (+14866), STOML1 (+51024)
chr1_113217549_113218377	MAGI3 (-172996), LRIG2 (+144754)
chr17_20300444_20301213	LGALS9B (+166706), SPECC1 (+213807)
chr7_52920979_52921590	POM121L12 (-114357)
chr1_206416015_206416944	IKBKE (-54015), SRGAP2 (+210571)
chr11_128615715_128616645	FLI1 (-77590), ETS1 (-28622)
chr5_74316073_74316728	ENC1 (+325023), ARHGEF28 (+690243)
chr5_113902654_113904143	KCNN2 (-457546), YTHDC2 (+389716)
chr22_34914571_34915536	LARGE1 (-994633), ISX (-151082)
chr8_25592360_25593370	CDCA2 (+133868), EBF2 (+452532)
chr9_104864401_104865110	ABCA1 (+63481), NIPSNAP3B (+100586)
chr10_121096906_121097510	WDR11 (+246033), FGFR2 (+501195)
chr7_66237589_66238869	KCTD7 (-390538), TPST1 (+33030)
chr1_93607897_93609241	FNBP1L (+160438), BCAR3 (+238581)
chr3_14472753_14473363	GRIP2 (+69023), SLC6A6 (+70482)
chr1_22808686_22809417	KDM1A (-210441), EPHB2 (+98087)
chr14_68569070_68570385	ZFP36L1 (+223512), RAD51B (+749949)
chr9_115126414_115127351	DEC1 (-14935), TNC (-8626)
chr9_136789005_136789586	TMEM141 (-2059)
chr4_53863400_53864430	LNX1 (-272299), CHIC2 (+200775)
chr16_83389864_83391190	HSBP1 (-417316), CDH13 (+763562)
chr16_88772823_88773831	PIEZO1 (+11884), CTU2 (+66805)
chr11_19930983_19931720	NAV2 (+217755), DBX1 (+229261)
chr11_27011972_27013135	BBOX1 (-28408), FIBIN (+18370)
chr14_69937114_69938439	SMOC1 (+58361), SLC8A3 (+251293)
chr19_18732678_18733760	CRTC1 (+49541), COMP (+58095)
chr2_170263224_170264503	SP5 (-451487), MYO3B (+85719)
chr9_116233861_116234544	TRIM32 (-453099), PAPPA (+80399)
chr6_15922275_15923328	DTNBP1 (-259760), MYLIP (-206323)
chr20_40218290_40219035	MAFB (+470577)
chr6_169940631_169941351	ERMARD (+189366), DLL1 (+349482)
chr13_94880297_94881089	SOX21 (-168294), ABCC4 (+420736)
chr5_113156139_113157447	DCP2 (+180057), TSSK1B (+278238)
chr11_130527578_130528588	ADAMTS15 (+79109), SNX19 (+388426)
chr8_107195215_107196446	ABRA (-425586), ANGPT1 (+302179)
chr7_22138623_22139396	CDCA7L (-192926), RAPGEF5 (+217904)
chr1_221371324_221372295	DUSP10 (+370366), HLX (+492410)
chr9_116390184_116390983	TRIM32 (-296718), PAPPA (+236780)
chr11_12784616_12785407	RASSF10 (-224565), TEAD1 (+110421)
chr1_48049935_48050736	SLC5A9 (-172351), TRABD2B (-53441)
chr19_53568206_53568838	DPRX (-63534), ZNF331 (+47498)
chr16_86989065_86989794	FBXO31 (+394327), FOXL1 (+410924)
chr20_13322242_13323305	ISM1 (+101003), TASP1 (+316166)
chr6_24872743_24873245	ENSG00000282804 (-63196), RIPOR2 (+63058)
chr22_31602315_31602892	PISD (+25617), SFI1 (+106041)
chr15_70171515_70172373	TLE3 (-73768), UACA (+591649)
chr14_95307414_95308266	DICER1 (-149830), CLMN (+12066)
chr2_234335448_234336296	ARL4C (+160728), SPP2 (+285173)
chr18_21980656_21981751	GATA6 (-188239), MIB1 (+239884)
chr5_33854437_33855166	ADAMTS12 (+37390), TARS (+413837)
chr12_52974764_52975808	EIF4B (-31170), KRT18 (+26322)
chr12_24135206_24135921	SOX5 (-185861), BCAT1 (+767511)
chr10_76250883_76252499	LRMDA (+820238)
chr17_5526582_5527801	MIS12 (+40818), NLRP1 (+57320)
chr5_151669921_151670713	FAT2 (-101373), SPARC (+16848)
chr2_126302195_126303363	GYPC (-353154)
chr11_32358786_32359502	WT1 (+76486), RCN1 (+268240)
chr12_62711481_62712284	PPM1H (+223154), MON2 (+245066)
chr11_62400018_62401266	SCGB1A1 (-18393), ASRGL1 (+63194)
chr7_6393053_6394209	RAC1 (+19092), DAGLB (+54381)
chr21_36235101_36235701	MORC3 (-84788), DOPEY2 (+70866)
chr10_121292787_121293586	FGFR2 (+305216), WDR11 (+442012)
chr2_222050091_222050578	EPHA4 (-478045), PAX3 (+248646)
chr13_43546193_43547171	ENOX1 (+240226), DNAJC15 (+523479)
chr10_121099052_121100097	WDR11 (+248400), FGFR2 (+498828)
chr12_115158647_115159464	TBX3 (-475466)
chr2_8479375_8480056	ID2 (-199129)
chr7_48084951_48085350	UPP1 (-3493)
chr12_22245691_22246747	ST8SIA1 (+88495), CMAS (+200045)
chr4_106048302_106049291	AIMP1 (-267710), NPNT (+153356)
chr21_42931538_42932617	PKNOX1 (-42432), NDUFV3 (+38813)
chr11_36162536_36163583	COMMD9 (+126369), LDLRAD3 (+218982)
chr5_82386785_82388310	ATP6AP1L (+108086), TMEM167A (+689948)
chr1_56442454_56443061	PLPP3 (+136810)
chr6_4253213_4254208	CDYL (-522724), ECI2 (-118114)
chr6_161458433_161459717	AGPAT4 (-185014)
chr6_130618416_130619337	SMLR1 (-208529), TMEM200A (+181760)
chr2_66962386_66963532	ETAA1 (-434360), MEIS1 (+527559)
chr11_61773317_61773837	TMEM258 (+19033), MYRF (+20928)
chr2_21757612_21758691	APOB (-714079)
chr10_6164605_6165332	PFKFB3 (+18653), PRKCQ (+415332)
chr14_101359515_101360921	RTL1 (-475371), DIO3 (-201133)
chr2_36704461_36705092	VIT (+8087), STRN (+261695)
chr10_44902903_44903879	CXCL12 (-518342), TMEM72 (-7809)
chr15_88238795_88239430	NTRK3 (+17618)
chr13_110312164_110313028	COL4A2 (+5329), RAB20 (+249137)
chrX_68929753_68931356	EFNB1 (+101558), PJA1 (+234966)
chr6_87971432_87972757	AKIRIN2 (-269886), SPACA1 (-75694)
chr10_76133428_76134258	LRMDA (+702390)
chr15_58548730_58549724	LIPC (+117429), ADAM10 (+200751)
chr8_27672837_27673678	SCARA3 (+39077), CCDC25 (+99376)
chr7_33805910_33807260	BMPER (-98326), BBS9 (+677053)
chr13_44174625_44175454	SERP2 (-198802), SMIM2 (-13783)
chr18_49618975_49620144	LIPG (+57529), ACAA2 (+194400)
chr17_14451394_14452386	HS3ST3B1 (+150807), PMP22 (+810699)
chr17_51397511_51399107	UTP18 (+137781), CA10 (+760418)
chr1_118589143_118590107	SPAG17 (-404402), TBX15 (+398180)
chr2_88281202_88282026	THNSL2 (+110154), FOXI3 (+171042)
chr5_138230201_138231211	CDC23 (-17363), GFRA3 (+43965)
chr5_57316882_57317607	GPBP1 (+143297), ACTBL2 (+165564)
chr5_149385470_149386524	IL17B (-6721), CSNK1A1 (+164967)
chr5_63055272_63055824	LRRC70 (+476813), HTR1A (+906585)
chr2_225354083_225354925	DOCK10 (-312062), NYAP2 (-45206)
chr8_133130440_133131296	SLA (-70510), WISP1 (-60171)
chr5_172142510_172143338	FBXW11 (-136284), STK10 (+45462)
chr3_52526385_52527395	NT5DC2 (+6887), STAB1 (+31552)
chr9_136780433_136781519	LCN15 (-16463), TMEM141 (-10379)
chr8_133540016_133540658	NDRG1 (-242751), ST3GAL1 (+31588)
chr2_115491191_115491923	DPP10 (+329955)
chr10_75508223_75509274	LRMDA (+77296)
chr19_4987329_4988340	KDM4B (+18714), PTPRS (+298405)
chr7_35331919_35332594	TBX20 (-78110), HERPUD2 (+362878)
chr15_69469787_69470417	RPLP1 (+17318), TLE3 (+628074)
chr5_154523292_154524353	LARP1 (-189079), HAND1 (-45559)
chr12_21413496_21414268	PYROXD1 (-23795), SLCO1A2 (-18445)
chr3_33467740_33468470	UBP1 (-27727), CLASP2 (+191336)
chr1_201268500_201269183	PKP1 (-14610), IGFN1 (+78017)
chr5_153572410_153573227	GRIA1 (+80647), FAM114A2 (+466100)
chr18_44729317_44730844	SLC14A2 (-884720), SETBP1 (+49183)
chr5_158166108_158166891	CLINT1 (-307357), EBF1 (+933261)
chr10_102769454_102770884	WBP1L (+26199), CYP17A1 (+67364)
chr10_30160476_30161254	JCAD (-101341), MTPAP (+188454)
chr15_74230763_74231457	STRA6 (-28252), CCDC33 (-5179)
chr3_184688498_184689142	MAGEF1 (+23182), EPHB3 (+127036)
chr4_69831893_69833040	SULT1B1 (-71755), ENSG00000284695 (+15319)
chr12_115369994_115371831	TBX3 (-687323), MED13L (+906425)
chr16_69853223_69853958	CLEC18A (-97114), WWP2 (+91285)
chr16_88497704_88499063	ZC3H18 (-72019), ZFPM1 (+45067)
chr14_68619983_68620775	ZFP36L1 (+172861), RAD51B (+800600)
chr22_23547422_23549565	IGLL1 (+31814), BCR (+368284)
chr6_104996090_104996709	LIN28B (+39352), BVES (+140774)
chr1_208141670_208142354	CD34 (-230610), PLXNA2 (+102308)
chr12_73348059_73348893	NONE
chr2_3968830_3969985	DCDC2C (+265816)
chr11_79098158_79098595	NARS2 (-523513), TENM4 (+342274)
chr15_27123496_27124886	GABRG3 (+152909), OCA2 (+975167)
chr8_17608083_17609160	PDGFRL (+32189), MTUS1 (+192046)
chr6_21375209_21376147	SOX4 (-217090), CDKAL1 (+841221)
chr11_114215906_114216508	NNMT (-41624), ZBTB16 (+156614)
chr11_113669948_113671019	DRD2 (-195095), TMPRSS5 (+35889)
chr4_108224218_108224993	RPL34 (-396050), LEF1 (-56184)
chr15_95845803_95846546	NR2F2 (-484542)
chr20_59211060_59211837	EDN3 (-88978), ZNF831 (+88068)
chr6_163860299_163861084	QKI (+446049)
chr11_130560189_130560843	ADAMTS15 (+111542), SNX19 (+355993)
chr8_125545860_125546632	TRIB1 (+115925)
chr11_47606755_47607804	C1QTNF4 (-12621), MTCH2 (+35343)
chr2_216774742_216775542	IGFBP5 (-79617), TNP1 (+84922)
chr2_125634628_125635274	NONE
chr1_175750577_175751344	TNR (-7191), RFWD2 (+456532)
chr7_21965319_21966110	CDCA7L (-19631), RAPGEF5 (+391199)
chr17_57622507_57623753	CCDC182 (+122182), MSI2 (+366596)
chr7_136709707_136710493	MTPN (-732784), CHRM2 (-158569)
chr15_99996923_99998260	LYSMD4 (-264171), ADAMTS17 (+344413)
chr10_83908610_83909856	GHITM (-230207)
chr3_125128916_125130121	HEG1 (-73561), SLC12A8 (+81880)
chr9_7688988_7690180	DMAC1 (+110483), KDM4C (+931928)
chr11_19792435_19792973	NAV2 (+79107), DBX1 (+367909)
chr15_101107858_101108854	CHSY1 (+143576), LRRK1 (+189141)
chr6_109307254_109308474	CD164 (+74580), CEP57L1 (+212711)
chr17_30563122_30564492	GOSR1 (+86445), CRLF3 (+260969)
chr2_117127765_117128824	DDX18 (-686355)
chr14_52079368_52081091	PTGDR (-187483), NID2 (-11236)
chr6_47083378_47084352	ADGRF1 (-41502), TNFRSF21 (+226040)
chr7_67470236_67471003	TYW1 (+473805)
chr7_47501405_47501896	TNS3 (+80493)
chr1_53145782_53146704	SLC1A7 (-3611)
chr6_137865018_137865546	TNFAIP3 (-1906)
chr17_48432996_48434167	SKAP1 (-3392)
chr22_27596163_27597137	MN1 (+204848), CRYBA4 (+974686)
chr4_64439438_64440433	TECRL (-30474)
chr14_54186863_54187804	BMP4 (-230523), CDKN3 (-209621)
chr11_19767804_19768349	NAV2 (+54480), DBX1 (+392536)
chr11_7600405_7600978	CYB5R2 (+73516), PPFIBP2 (+86922)
chr12_108804395_108805080	CORO1C (-101740), SSH1 (+52852)
chr5_135051814_135052661	PITX1 (-17940), H2AFY (+347384)
chr12_42921882_42922869	PRICKLE1 (-332606), ADAMTS20 (+629545)
chr11_119704701_119706320	THY1 (-281383), NECTIN1 (+23573)
chr5_24397476_24398328	CDH10 (+247076), PRDM9 (+890287)
chr6_106820385_106821321	CD24 (+153186), QRSL1 (+191275)
chr3_3189185_3190358	LRRN1 (-609665), CRBN (-10062)
chr8_79822009_79822560	HEY1 (-54428), MRPS28 (+207986)
chr5_17180544_17181592	MYO10 (-244805), BASP1 (-36492)
chr5_26031188_26032063	NONE
chr5_67267718_67268912	PIK3R1 (-947405), CD180 (-71516)
chr21_41894488_41895452	PRDM15 (-15488), C2CD2 (+58920)
chr1_53254170_53254845	MAGOH (-15898), LRP8 (+73506)
chr11_107791515_107792603	SLN (-72366), SLC35F2 (+67129)
chr2_16425542_16426146	FAM49A (+239990), MYCN (+485280)
chr4_55256543_55257188	KDR (-131277), SRD5A3 (-89243)
chr1_173474555_173475329	PRDX6 (-2324)
chr2_45755813_45756426	EPAS1 (-541282), PRKCE (+104346)
chr11_128664286_128664759	ETS1 (-76965), FLI1 (-29247)
chr16_10991633_10992386	CLEC16A (+47522), SOCS1 (+264169)
chr12_47301691_47302707	AMIGO2 (-222334), RPAP3 (+403862)
chr9_114138698_114139572	KIF12 (-40078), COL27A1 (-16425)
chr2_24191350_24193045	PFN4 (-68721), ITSN2 (+168516)
chr1_112997816_112998467	LRIG2 (-75067), SLC16A1 (-42079)
chr3_9884011_9885064	JAGN1 (-6016), CIDEC (-5726)
chr1_74811380_74812109	LHX8 (-316689), CRYZ (-78337)
chr10_5563410_5564050	CALML3 (+39721), ASB13 (+102848)
chr2_236765410_236766379	COPS8 (-319417), ACKR3 (+196254)
chr5_56278418_56278980	MAP3K1 (-536875), IL6ST (-283706)
chr2_45930385_45931015	EPAS1 (-366702), PRKCE (+278926)
chr11_128463154_128463808	ETS1 (+124077)
chr18_9756885_9757890	TXNDC2 (-128588), RAB31 (+49223)
chr2_221908661_221909274	EPHA4 (-336678), PAX3 (+390013)
chr7_33798296_33799250	BMPER (-106138), BBS9 (+669241)
chr5_78628346_78628829	LHFPL2 (+20237), SCAMP1 (+268005)
chr10_31659627_31660825	ARHGAP12 (+268581), ZEB1 (+341054)
chr10_98351527_98352552	LOXL4 (-83790), PYROXD2 (+63144)
chr2_159202585_159203170	WDSUB1 (+83714), TANC1 (+234207)
chr2_133993014_133993645	NCKAP5 (-424870), MGAT5 (-126852)
chr1_210663702_210664622	HHAT (+335256), ENSG00000284299 (+469916)
chr11_62423409_62423960	SCGB1A1 (+4650), AHNAK (+123150)
chr8_24668706_24669462	NEFM (-243928), ADAM7 (+228058)
chr17_48503063_48504562	SKAP1 (-73623), HOXB1 (+27184)
chr12_45491223_45492032	ARID2 (-238037), ANO6 (+275543)
chr21_33844147_33844987	ATP5O (+71413), ITSN1 (+202109)
chr2_213455335_213456022	VWC2L (-955386), SPAG16 (+171290)
chr4_33740472_33741750	NONE
chr17_41529956_41530977	KRT19 (-2159)
chr8_30215756_30216214	RBPMS (-168526), DCTN6 (+59688)
chr2_9638447_9640051	TAF1B (-204105), YWHAQ (-8633)
chr1_230758644_230759329	CAPN9 (+11603), C1orf198 (+109666)
chr18_55097416_55098278	CCDC68 (-138339), TCF4 (+538180)
chr6_69584580_69585669	LMBRD1 (+211986), ADGRB3 (+949758)
chr5_154162456_154163116	GALNT10 (-27944), MFAP3 (+123793)
chr7_28314742_28316347	JAZF1 (-134802), CREB5 (-96980)
