# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr11_19816965_19818286	NAV2 (+104029), DBX1 (+342987)
chr3_163722129_163722807	NONE
chr7_98362608_98363211	BAIAP2L1 (+38158), BRI3 (+81235)
chr1_23357462_23358116	HNRNPR (-13479), ZNF436 (+11653)
chr4_52834218_52835547	ERVMER34-1 (-83243), RASL11B (-27407)
chr13_40317714_40318390	FOXO1 (+348545), COG6 (+662375)
chr4_104915711_104916574	CXXC4 (-421249), TET2 (-230150)
chr2_134133693_134134673	MGAT5 (+14001), TMEM163 (+584817)
chr2_154588990_154590141	KCNJ3 (-108733), GALNT13 (+645068)
chr21_39537274_39538226	B3GALT5 (-120132), SH3BGR (+85920)
chr12_54075632_54076577	HOXC4 (+22228), SMUG1 (+112889)
chr5_109837448_109838621	MAN2A1 (+148669), TMEM232 (+888630)
chr17_4307025_4307981	ANKFY1 (-43656), UBE2G1 (+58979)
chr6_20629442_20630772	SOX4 (-962661), CDKAL1 (+95650)
chr4_168841033_168841633	CBR4 (+168925), PALLD (+344229)
chr16_72284543_72286066	PMFBP1 (-113050), ZFHX3 (+845789)
chr19_7748772_7749347	CD209 (-1526)
chr7_20053221_20054022	TMEM196 (-280229), MACC1 (+163768)
chr15_52744810_52746360	FAM214A (-93535), ONECUT1 (+44427)
chr16_53372957_53373817	RBL2 (-61033), CHD9 (+318354)
chr1_180239262_180239955	LHX4 (+9323), ACBD6 (+263345)
chr5_94354874_94356479	SLF1 (-262670), FAM172A (-244042)
chr7_28890016_28890539	TRIL (+68014), CREB5 (+477753)
chr6_87172097_87172788	SMIM8 (-150145), ZNF292 (+16894)
chr20_51386862_51387754	KCNG1 (-364179), NFATC2 (+155411)
chr3_186964701_186965931	ST6GAL1 (+34831), RPL39L (+174207)
chr15_43292877_43293744	TGM5 (-26454), TGM7 (+8944)
chr3_196057744_196058556	TNK2 (-162589), TFRC (+24039)
chr10_92305146_92306332	MARCH5 (+14576), IDE (+268337)
chr6_149988589_149989221	ULBP1 (+24898), RAET1L (+36566)
chr1_179529144_179530604	NPHS2 (+46059), SOAT1 (+236072)
chr13_40651861_40652733	FOXO1 (+14300), COG6 (+996620)
chrX_74259797_74260666	ZCCHC13 (-43958), CHIC1 (+697024)
chr16_84561122_84562004	TLDC1 (-56805), COTL1 (+56514)
chr2_46704435_46705420	SOCS5 (+5976), MCFD2 (+210852)
chr1_81312128_81313522	ADGRL2 (+6659)
chr4_123378824_123379555	SPRY1 (-17605), SPATA5 (+456116)
chr2_15259323_15260077	NBAS (+301630)
chr20_34863197_34864268	NCOA6 (-42094), GGT7 (+9127)
chr7_100542268_100542749	AGFG2 (+3284), SAP25 (+31099)
chr13_54999807_55001360	NONE
chr10_81251475_81252612	NRG3 (-623270), TSPAN14 (+797878)
chr22_21921210_21922069	MAPK1 (-54011), PPM1F (+31197)
chr6_99618654_99619478	PRDM13 (+12336), MCHR2 (+375157)
chr2_67331388_67332296	ETAA1 (-65477), MEIS1 (+896442)
chr4_91623024_91624243	GRID2 (-679988)
chr7_91043878_91044876	FZD1 (-219987), CDK14 (+447880)
chr10_2964037_2964803	PFKP (-103100)
chr11_120771599_120772032	TBCEL (-252305), GRIK4 (+260116)
chr12_93583696_93585100	CRADD (-93319), SOCS2 (+12717)
chr9_727873_728879	DMRT1 (-113314), KANK1 (+223681)
chr10_31468076_31468831	ZEB1 (+149282), ARHGAP12 (+460353)
chr5_176671746_176672751	UNC5A (-138228), TSPAN17 (+24862)
chr2_22970145_22971452	KLHL29 (-414418)
chr6_168694800_168696114	SMOC2 (+254306), THBS2 (+558587)
chr12_119201986_119202997	CCDC60 (-132220), HSPB8 (+23850)
chr1_89929174_89930169	ZNF326 (-65443), LRRC8D (+108640)
chr3_138408533_138409584	ESYT3 (-25554), MRAS (+61362)
chr17_259237_260681	DOC2B (-78323), RPH3AL (+92848)
chr2_209145279_209146663	MAP2 (-433450), PTH2R (+739140)
chr1_48710078_48711077	SPATA6 (-238405), BEND5 (+66340)
chr13_99575166_99575820	CLYBL (-31176), TM9SF2 (+74076)
chr5_62074497_62075561	KIF2A (-231423), ZSWIM6 (+742756)
chr6_15894502_15896044	MYLIP (-233852), DTNBP1 (-232231)
chr19_52997369_52998051	ZNF816 (-34849), ERVV-1 (-16211)
chr11_6496872_6497770	DNHD1 (+25)
chr17_53061330_53062247	CA10 (-903062), KIF2B (-761112)
chr12_90953708_90954602	CCER1 (+1021)
chr6_156396753_156397860	NOX3 (-941404), ARID1B (-380067)
chr14_77337659_77338663	POMT2 (-17277), TMED8 (+38948)
chr3_149020899_149022178	GYG1 (+30198), HLTF (+64991)
chr11_14904739_14905845	CYP2R1 (-13040), CALCA (+67062)
chr18_34548149_34549506	NOL4 (-325277), DTNA (-44511)
chr6_136334686_136335936	BCLAF1 (-45460), MAP7 (+190902)
chr1_180953398_180954885	STX6 (+68769), XPR1 (+322138)
chr15_78830697_78831910	MORF4L1 (-41510), ADAMTS7 (-19873)
chr9_6771587_6772404	KDM4C (+14340)
chr18_54382551_54383362	DYNAP (-208202), STARD6 (-24993)
chr1_212851895_212852691	FLVCR1 (-5962), TATDN3 (+60465)
chr1_212879704_212880722	VASH2 (-71330), FLVCR1 (+21958)
chr2_54708655_54709709	EML6 (-15360), SPTBN1 (+252897)
chr9_6692413_6693564	KDM4C (-64667), GLDC (-47206)
chr3_167653310_167654106	SERPINI2 (-179576), PDCD10 (+81118)
chr4_121795774_121797192	EXOSC9 (-4837)
chr4_2778318_2779304	SH3BP2 (-39374), TNIP2 (-22435)
chr7_29296306_29298017	PRR15 (-266649), CPVL (-101886)
chr4_78252389_78253263	ANXA3 (-298693), FRAS1 (+195256)
chr19_14758758_14759377	ADGRE2 (+19469), ZNF333 (+68967)
chr3_39869767_39870441	EIF1B (-439580), MYRIP (+60499)
chr4_184625547_184626577	IRF2 (-151482), CASP3 (+23413)
chr9_123174251_123175390	STRBP (+9489), GPR21 (+140294)
chr5_154167195_154168089	GALNT10 (-23088), MFAP3 (+128649)
chr4_123952698_123953434	SPRY1 (+556271), ANKRD50 (+759666)
chr4_148881938_148882920	NR3C2 (-439909)
chr10_111506186_111507231	ADRA2A (+429546), GPAM (+677054)
chr10_67401483_67402468	CTNNA3 (+294193), LRRTM3 (+475970)
chr9_137959731_137960867	CACNA1B (+82510)
chr3_71152109_71153332	FOXP1 (+431268)
chr1_67458559_67459442	GADD45A (-226060), SERBP1 (-28615)
chr10_100300967_100301608	BLOC1S2 (-14576), PKD2L1 (+29198)
chr2_65031345_65032206	CEP68 (-24596), SLC1A4 (+42375)
chr6_151009356_151009987	AKAP12 (-230327), MTHFD1L (+143993)
chr9_90783328_90784360	DIRAS2 (-140739), SYK (-17943)
chr3_140341400_140342556	TRIM42 (-336061), CLSTN2 (+406793)
chr12_65761127_65761865	HMGA2 (-62964), MSRB3 (+482853)
chr14_53567229_53567875	DDHD1 (-414454), BMP4 (+389259)
chr20_15627259_15628118	KIF16B (+945744)
chr2_14232060_14233109	NONE
chr3_149574232_149574842	TM4SF4 (+100563), WWTR1 (+128736)
chr15_71214397_71215630	NR2E3 (-595540), THSD4 (+118062)
chr1_18651775_18652439	PAX7 (+21101), TAS1R2 (+207575)
chr8_80231639_80232781	ZBTB10 (-253457), TPD52 (-151394)
chr5_129723891_129725044	KIAA1024L (-23611), ADAMTS19 (+264058)
chr2_33607129_33608128	FAM98A (-8267)
chr10_120799876_120801334	WDR11 (-50570), PLPP4 (+343651)
chr1_197813817_197814830	LHX9 (-103075), DENND1B (-38831)
chr12_49955182_49956065	AQP5 (-6246), AQP2 (+4878)
chr13_110811912_110813085	ING1 (+97517), ANKRD10 (+102570)
chr16_23712431_23713671	ERN2 (+449)
chr5_103646418_103647792	NUDT12 (-84312)
chr6_156852651_156853556	ARID1B (+75730), TMEM242 (+470497)
chr8_47821935_47823270	CEBPD (-83517), PRKDC (+137580)
chr19_21698444_21699672	ZNF100 (+68570), ZNF429 (+193494)
chr6_166620829_166621903	MPC1 (-238368), RPS6KA2 (+241145)
chr9_80409875_80410733	TLE4 (+837689)
chr7_139613324_139614401	CLEC2L (+90007), HIPK2 (+163855)
chr3_119360937_119361623	ARHGAP31 (+66907), TMEM39A (+102402)
chr11_90437962_90438730	CHORDC1 (-214982)
chr18_64273193_64274412	SERPINB8 (+303878)
chr4_186249990_186250761	F11 (-15569), KLKB1 (+22974)
chr3_74402562_74403555	PDZRN3 (-778119), CNTN3 (+118081)
chr6_163099242_163100242	PRKN (-371971), QKI (-314901)
chr16_23786249_23787855	PRKCB (-48972), CHP2 (+32425)
chr4_24661833_24662718	SOD3 (-133187), DHX15 (-77726)
chr4_128054637_128055908	MFSD8 (-89604), LARP1B (-5995)
chr10_122845840_122846471	C10orf120 (-146334), CUZD1 (+4637)
chr7_144534235_144535199	NOBOX (-124490), TPK1 (+301336)
chr4_26299916_26300845	RBPJ (-19329), SMIM20 (+386177)
chr2_15119456_15120321	NBAS (+441441)
chr3_129045770_129047441	GP9 (-14161), EFCC1 (+44977)
chr5_32276076_32277002	GOLPH3 (-102189), MTMR12 (+36470)
chrX_13198100_13199285	FAM9C (-154091), ATXN3L (+121706)
chr12_13594753_13596138	GRIN2B (+384917), EMP1 (+398730)
chr5_141477952_141478638	PCDHGC4 (-6879), PCDHGC3 (+2292)
chr1_183194392_183195529	LAMC2 (+8673), NMNAT2 (+223641)
chr7_43669086_43669872	BLVRA (-89208), COA1 (-19183)
chr2_188455767_188456865	COL3A1 (-518004), GULP1 (+163484)
chr7_24434961_24435500	MPP6 (-138115), NPY (+151043)
chr12_131223999_131224998	SFSWAP (-486638), ADGRD1 (+270063)
chr11_40203505_40204967	LRRC4C (+89878)
chr5_80957065_80957620	RASGRF2 (-3329)
chr9_111868463_111868887	UGCG (-28091), GNG10 (+207340)
chr7_127665641_127666426	SND1 (+13854), LRRC4 (+365036)
chr12_46669516_46670323	SLC38A2 (-297053), SLC38A4 (+156077)
chr1_114892058_114893134	TSHB (-137228), SYCP1 (+37793)
chr9_112945491_112946122	SLC46A2 (-54894), ZNF883 (+104236)
chr5_116343782_116344914	SEMA6A (+230047), COMMD10 (+259357)
chr3_97125829_97126440	ARL6 (-638393), EPHA6 (+311549)
chrX_148440895_148442319	AFF2 (-59012), FMR1NB (+460278)
chr1_1136384_1137333	TTLL10 (-37044), C1orf159 (-20778)
chr2_238128388_238129158	KLHL30 (-9949), ESPNL (+28616)
chr19_3005915_3006669	TLE2 (+22721), TLE6 (+28846)
chr8_97783398_97784063	MATN2 (-85352), LAPTM4B (+8674)
chr2_236965160_236966281	COPS8 (-119591), ACKR3 (+396080)
chr7_32603692_32604563	AVL9 (+108639), KBTBD2 (+287769)
chr3_120341539_120342439	GPR156 (-56895), FSTL1 (+109264)
chr12_42485901_42486247	PRICKLE1 (+103696), PPHLN1 (+159908)
chr11_96455917_96456917	JRKL (+66423)
chr7_120521949_120523077	KCND2 (+248845), TSPAN12 (+335844)
chr15_90393509_90394276	CRTC3 (-136175), IQGAP1 (+5675)
chr10_52038911_52039941	CSTF2T (-339835), DKK1 (-274870)
chr3_191688610_191689360	PYDC2 (+227822), FGF12 (+720064)
chr4_87917805_87918481	SPP1 (-57545), MEPE (+85226)
chr6_147053175_147053937	STXBP5 (-150977), ADGB (+454591)
chr5_52043239_52044124	ITGA1 (-744214), ISL1 (+660291)
chr1_75074647_75075470	CRYZ (-341651), LHX8 (-53375)
chr8_131973687_131974554	EFR3A (+70033), OC90 (+85259)
chr2_100411720_100412336	LONRF2 (-89295), CHST10 (+5628)
chr12_23816247_23816859	SOX5 (+133150)
chr16_22859767_22860396	HS3ST2 (+45905), USP31 (+289188)
chr20_17752356_17753228	MGME1 (-216121), BANF2 (+59120)
chr14_89296364_89296987	FOXN3 (+322454), TTC8 (+472523)
chrX_40852755_40853985	USP9X (-232265), MED14 (-117839)
chr1_19481882_19482206	CAPZB (+2620), PQLC2 (+169716)
chr7_39333112_39334236	YAE1D1 (-232702), POU6F2 (+355676)
chr16_61871953_61872990	CDH8 (+164363)
chr15_34214024_34214595	KATNBL1 (-4231)
chr12_80782612_80783665	MYF5 (+66227), LIN7A (+154786)
chr2_955869_956665	TPO (-457194), SNTG2 (+5399)
chr5_29150266_29151218	NONE
chr6_170022701_170023629	DLL1 (+267308), ERMARD (+271540)
chr15_39807960_39809688	GPR176 (+112068), THBS1 (+227731)
chr15_89412844_89413541	POLG (-78346), RHCG (+83420)
chr18_6613582_6614272	L3MBTL4 (-246244), ARHGAP28 (-220548)
chr1_212908078_212908912	VASH2 (-43048), FLVCR1 (+50240)
chr6_144234226_144235286	UTRN (-57073), STX11 (+84230)
chr6_14396988_14397732	JARID2 (-848936), CD83 (+279719)
chr7_43140901_43141606	STK17A (-441811), HECW1 (+28655)
chr4_8877051_8878209	FAM90A26 (-292779), HMX1 (-5813)
chr4_168715810_168716635	PALLD (+219119), CBR4 (+294035)
chr7_34356491_34357645	NPSR1 (-301341), BMPER (+452157)
chr12_85004346_85005926	SLC6A15 (-92260), TSPAN19 (+31121)
chr17_61245428_61246407	TBX2 (-153978), BCAS3 (+566460)
chr5_30239241_30240072	CDH6 (-954093)
chr2_219418202_219419185	DES (+317)
chrX_49058853_49060172	CCDC120 (+511)
chr15_101425310_101426340	SNRPA1 (-130574), PCSK6 (+64014)
